Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle
1	0.033	144.0	5.89	153.91
2	0.067	163.92	6.21	158.17
3	0.1	130.22	6.02	156.38
4	0.133	98.92	16.49	165.98
5	0.167	97.34	18.24	162.81
6	0.2	126.97	13.54	164.81
7	0.233	147.97	3.78	160.34
8	0.267	162.21	1.03	156.78
9	0.3	167.88	5.5	158.91
10	0.333	172.84	5.64	155.83
11	0.367	146.01	7.4	153.82
12	0.4	112.48	4.08	155.25
13	0.433	16.22	4.52	153.37
14	0.467	3.54	2.24	152.33
15	0.5	2.49	0.62	154.79
16	0.533	73.54	16.9	153.23
17	0.567	80.86	6.07	159.96
18	0.6	54.65	7.13	141.54
19	0.633	44.83	4.44	147.37
20	0.667	55.32	0.95	147.24
21	0.7	35.1	7.32	146.34
22	0.733	33.67	7.3	148.54
23	0.767	50.15	3.04	158.18
24	0.8	43.82	4.13	154.9
25	0.833	67.94	4.65	146.6
26	0.867	80.69	1.86	145.32
27	0.9	85.89	14.58	122.24
28	0.933	76.45	17.85	125.62
29	0.967	80.78	24.95	129.35
30	1.0	79.47	43.14	133.1
31	1.033	71.96	40.39	138.29
32	1.067	68.53	32.71	149.6
33	1.1	64.97	33.61	149.15
34	1.133	61.37	43.55	149.38
35	1.167	38.11	16.14	151.96
36	1.2	31.4	39.4	151.25
37	1.233	40.74	59.11	145.72
38	1.267	31.98	74.84	146.56
39	1.3	28.63	99.01	149.66
40	1.333	18.54	101.49	145.48
41	1.367	32.78	109.58	141.53
42	1.4	40.3	109.51	139.52
43	1.433	44.94	108.97	140.29
44	1.467	54.76	114.67	133.69
45	1.5	60.58	115.7	126.22
46	1.533	57.64	116.45	123.09
47	1.567	42.99	111.38	126.07
48	1.6	33.92	110.65	127.56
49	1.633	42.91	87.84	134.2
50	1.667	40.49	78.4	127.56
51	1.7	36.99	73.12	130.3
52	1.733	0.33	65.02	125.18
53	1.767	31.8	74.23	121.71
54	1.8	23.26	88.12	128.15
55	1.833	3.55	78.63	123.44
56	1.867	11.05	81.47	123.09
57	1.9	9.17	86.07	120.77
58	1.933	1.56	95.33	123.34
59	1.967	4.31	99.77	123.89
60	2.0	9.07	99.01	127.47
61	2.033	15.67	109.73	133.35
62	2.067	45.98	111.45	132.14
63	2.1	57.23	108.19	129.18
64	2.133	52.66	107.25	130.4
65	2.167	88.79	111.11	131.05
66	2.2	78.49	107.24	127.02
67	2.233	64.77	104.71	127.29
68	2.267	66.59	104.43	128.72
69	2.3	38.92	98.14	123.02
70	2.333	47.0	104.26	119.86
71	2.367	62.85	104.96	129.02
72	2.4	66.87	106.34	117.63
73	2.433	81.58	118.93	113.23
74	2.467	81.77	119.89	123.43
75	2.5	80.26	125.1	113.39
76	2.533	116.8	126.21	122.63
77	2.567	136.97	125.2	124.2
78	2.6	157.19	133.13	133.24
79	2.633	164.15	126.36	133.26
80	2.667	159.53	127.91	132.03
81	2.7	160.95	130.97	126.42
82	2.733	162.67	133.87	122.37
83	2.767	165.29	134.45	123.54
84	2.8	168.49	125.79	125.96
85	2.833	164.67	145.25	129.93
86	2.867	164.7	142.19	127.49
87	2.9	159.16	140.8	121.92
88	2.933	158.97	142.72	122.0
89	2.967	160.38	151.8	124.87
90	3.0	162.84	147.46	124.49
91	3.033	165.76	140.55	122.58
92	3.067	167.86	144.35	120.72
93	3.1	171.52	146.22	111.2
94	3.133	172.39	151.3	83.02
95	3.167	179.18	161.79	105.57
96	3.2	167.86	176.68	110.79
97	3.233	171.33	168.87	106.74
98	3.267	166.69	166.51	94.48
99	3.3	160.39	166.25	106.8
100	3.333	168.74	177.82	101.53
101	3.367	175.72	174.29	93.52
102	3.4	176.33	175.07	94.55
103	3.433	177.7	173.14	95.78
104	3.467	177.5	177.79	94.6
105	3.5	172.71	99.68	96.13
106	3.533	171.3	176.29	98.54
107	3.567	168.34	178.96	103.65
108	3.6	168.5	161.52	118.84
109	3.633	175.81	176.99	124.03
110	3.667	165.14	134.52	121.28
111	3.7	159.53	155.27	114.1
112	3.733	170.07	162.35	118.32
113	3.767	164.48	169.61	120.06
114	3.8	146.66	116.64	123.54
115	3.833	148.58	129.42	119.49
116	3.867	133.8	82.1	115.88
117	3.9	128.33	69.92	104.09
118	3.933	135.86	104.05	103.54
119	3.967	142.83	133.31	101.77
120	4.0	140.65	111.92	97.75
121	4.033	129.58	76.0	98.82
122	4.067	133.85	63.18	104.35
123	4.1	135.6	74.32	108.76
124	4.133	129.61	43.87	109.57
125	4.167	128.02	55.79	110.0
126	4.2	132.69	52.56	110.25
127	4.233	128.01	48.79	109.85
128	4.267	133.33	43.72	113.45
129	4.3	134.98	59.15	117.98
130	4.333	142.0	51.64	114.18
131	4.367	140.33	93.98	105.99
132	4.4	137.43	73.71	99.74
133	4.433	123.26	68.48	100.35
134	4.467	124.45	72.9	76.63
135	4.5	136.94	81.41	60.84
136	4.533	133.53	67.18	80.95
137	4.567	138.03	73.08	87.92
138	4.6	120.6	58.84	122.44
139	4.633	126.75	55.13	125.23
140	4.667	116.93	47.3	121.63
141	4.7	122.07	52.77	130.5
142	4.733	119.95	60.92	126.63
143	4.767	119.25	57.06	126.91
144	4.8	157.63	98.51	122.56
145	4.833	178.26	62.35	123.3
146	4.867	149.28	34.68	116.48
147	4.9	142.53	55.18	96.85
148	4.933	157.8	61.71	91.22
149	4.967	176.49	84.39	92.05
150	5.0	176.13	84.77	104.4
151	5.033	170.71	91.73	98.68
152	5.067	165.43	88.25	96.85
153	5.1	166.22	85.59	82.07
154	5.133	166.64	82.36	84.41
155	5.167	164.97	126.97	75.02
156	5.2	171.07	123.15	67.16
157	5.233	176.42	112.8	53.01
158	5.267	175.03	96.34	50.54
159	5.3	171.9	86.42	46.11
160	5.333	178.96	67.08	28.3
161	5.367	170.12	69.45	49.91
162	5.4	167.47	69.95	41.88
163	5.433	151.93	69.03	66.85
164	5.467	148.74	70.98	73.94
165	5.5	167.76	69.33	42.88
166	5.533	175.32	62.35	22.94
167	5.567	155.19	71.14	102.43
168	5.6	176.62	65.84	38.61
169	5.633	167.01	57.74	6.02
170	5.667	172.22	78.51	28.81
171	5.7	171.06	61.14	21.16
172	5.733	166.15	147.81	50.99
173	5.767	169.11	177.53	98.64
174	5.8	162.49	172.09	90.21
175	5.833	165.99	163.75	76.41
176	5.867	177.09	144.04	25.24
177	5.9	169.2	167.78	4.93
178	5.933	162.35	167.22	17.8
179	5.967	165.65	165.77	113.71
180	6.0	161.27	167.79	34.65
181	6.033	177.57	149.04	43.66
182	6.067	174.78	167.33	19.08
183	6.1	178.19	162.32	41.33
184	6.133	166.77	173.41	168.73
185	6.167	159.39	168.57	60.32
186	6.2	145.25	172.46	62.45
187	6.233	167.4	171.69	143.52
188	6.267	173.77	123.15	26.42
189	6.3	114.35	59.87	146.67
190	6.333	106.86	67.11	149.49
191	6.367	106.2	57.24	155.84
192	6.4	122.05	90.36	138.02
193	6.433	143.28	71.76	22.66
194	6.467	129.9	131.62	41.87
195	6.5	151.28	111.31	155.07
196	6.533	122.88	165.57	165.71
197	6.567	110.23	142.02	162.83
198	6.6	124.38	66.53	88.54
199	6.633	117.87	139.98	146.65
200	6.667	126.18	171.61	158.07
201	6.7	120.84	170.57	157.31
202	6.733	116.6	161.82	155.28
203	6.767	111.03	173.02	149.11
204	6.8	110.91	164.18	141.48
205	6.833	109.38	179.4	143.46
206	6.867	118.2	166.29	138.93
207	6.9	142.2	158.82	138.45
208	6.933	123.96	154.31	127.94
209	6.967	116.11	146.11	144.11
210	7.0	112.29	74.56	123.37
