Frame	Time	Nose_X	Nose_Y	L_Eye_X	L_Eye_Y	R_Eye_X	R_Eye_Y	L_Ear_X	L_Ear_Y	R_Ear_X	R_Ear_Y	L_Shoulder_X	L_Shoulder_Y	R_Shoulder_X	R_Shoulder_Y	L_Elbow_X	L_Elbow_Y	R_Elbow_X	R_Elbow_Y	L_Wrist_X	L_Wrist_Y	R_Wrist_X	R_Wrist_Y	L_Hip_X	L_Hip_Y	R_Hip_X	R_Hip_Y	L_Knee_X	L_Knee_Y	R_Knee_X	R_Knee_Y	L_Ankle_X	L_Ankle_Y	R_Ankle_X	R_Ankle_Y
1	0.033	72.92	64.15	75.66	68.62	76.14	62.72	75.35	78.59	75.84	63.27	63.73	74.95	64.39	62.08	51.29	74.36	56.95	56.88	51.6	65.01	59.19	58.07	29.71	67.64	31.27	55.47	22.28	65.5	25.65	53.49	15.01	61.08	17.52	55.65
2	0.067	73.1	64.04	75.83	68.46	76.36	62.61	75.65	78.49	76.22	63.25	64.09	75.0	64.92	61.96	51.04	74.62	57.79	56.88	49.95	65.04	60.4	58.28	29.72	67.39	31.3	55.03	22.27	65.71	25.8	53.47	15.17	60.91	17.79	55.32
3	0.1	72.87	63.9	75.62	68.52	76.15	62.48	75.32	78.53	75.78	62.89	64.0	74.4	64.08	61.38	52.85	73.99	56.82	56.29	54.53	64.77	60.2	58.09	29.83	66.91	31.15	54.59	22.39	65.17	25.62	52.85	14.84	60.59	17.33	54.87
4	0.133	72.99	63.93	75.79	68.49	76.06	62.41	75.57	78.18	75.31	62.57	64.59	73.97	63.46	61.35	55.47	73.74	57.18	56.29	59.72	65.04	62.67	58.2	30.99	66.84	31.61	55.03	24.63	65.25	26.9	54.28	16.98	60.39	19.24	55.56
5	0.167	72.74	63.82	75.45	68.55	75.92	62.29	74.85	78.4	75.15	62.43	63.3	73.99	63.15	60.92	53.35	73.69	57.14	55.64	57.48	64.62	63.19	57.82	30.13	66.62	31.3	54.68	23.81	65.43	26.43	53.79	16.44	60.41	18.9	55.46
6	0.2	72.96	63.45	75.55	68.26	76.27	62.04	74.66	78.53	75.67	62.64	62.29	74.52	63.78	61.23	48.82	74.04	57.69	55.78	48.2	63.95	62.45	58.13	29.16	66.56	31.04	54.59	22.67	65.59	25.63	53.99	15.87	59.96	18.62	55.71
7	0.233	72.78	63.46	75.4	68.12	76.02	62.11	74.86	78.41	75.65	62.91	63.08	74.75	64.22	61.44	50.38	74.42	57.46	56.13	50.44	64.84	59.65	58.12	29.62	66.9	31.37	54.74	22.95	65.51	26.12	53.6	16.18	59.91	18.81	55.39
8	0.267	72.66	63.73	75.3	68.43	76.03	62.41	74.75	78.86	75.81	63.3	62.59	74.98	64.4	61.71	48.67	74.32	57.38	56.38	47.44	64.23	59.42	57.99	29.28	66.83	31.39	54.72	22.49	65.15	25.93	53.16	15.98	59.53	18.65	55.07
9	0.3	70.7	64.2	73.26	68.91	74.09	62.98	72.68	78.99	73.98	63.68	60.79	74.66	62.87	61.76	47.72	73.76	56.52	56.18	46.99	63.73	59.06	57.98	29.06	66.64	31.32	55.09	22.75	65.27	26.13	53.89	16.44	59.94	19.05	55.77
10	0.333	71.1	64.72	73.69	69.32	74.55	63.44	73.31	79.24	74.6	63.98	61.57	75.01	63.73	61.78	48.25	74.29	57.34	56.11	45.67	64.34	58.9	57.82	29.26	66.89	31.56	54.98	22.66	65.14	26.3	53.42	16.91	59.53	19.64	55.25
11	0.367	70.84	64.82	73.38	69.49	74.37	63.59	73.06	79.36	74.6	64.04	61.47	74.84	63.75	61.54	47.95	73.94	57.32	55.81	45.42	63.87	59.1	57.88	29.22	66.76	31.6	54.75	22.33	64.94	26.04	52.9	16.43	59.29	19.24	54.86
12	0.4	71.55	65.61	73.89	70.4	75.09	64.41	73.01	79.82	74.99	64.47	61.08	74.65	63.74	61.89	46.71	73.51	56.4	56.17	43.53	63.79	59.13	57.96	28.94	66.2	31.62	54.32	20.51	64.1	24.33	52.01	13.35	58.67	16.23	54.18
13	0.433	71.43	66.49	73.76	71.24	75.1	65.19	72.9	80.34	75.16	64.91	60.97	75.07	64.16	62.13	46.58	73.81	56.78	56.53	42.89	63.71	59.13	58.0	29.55	66.52	32.56	54.63	21.46	64.11	25.12	51.86	14.69	58.52	17.52	53.83
14	0.467	70.98	67.27	73.18	72.02	74.68	66.03	71.96	80.87	74.7	65.58	59.87	75.18	63.52	62.24	45.16	73.93	56.52	56.54	41.27	63.61	58.63	58.1	28.65	66.43	31.85	54.66	20.39	64.18	23.9	52.09	14.52	58.28	17.5	54.22
15	0.5	71.23	67.27	73.47	71.99	74.91	66.07	72.27	80.81	74.93	65.6	60.09	75.11	63.45	62.33	44.96	73.88	56.74	56.71	41.04	63.36	58.56	58.2	28.21	66.51	31.15	54.81	19.85	64.72	22.99	53.03	14.3	58.8	17.47	55.13
16	0.533	70.25	67.27	72.42	71.98	74.07	66.25	71.43	80.88	74.59	66.05	59.6	75.19	63.56	62.46	44.26	73.76	57.01	56.47	40.48	63.28	58.07	58.24	27.9	66.11	31.18	54.44	19.61	63.88	23.1	52.41	14.32	58.17	17.54	54.55
