Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle	R_Chin_Angle
143	4.767	0.0	0.0	0.0	0.0
144	4.8	0.0	0.0	0.0	0.0
145	4.833	0.0	0.0	0.0	0.0
146	4.867	0.0	0.0	0.0	0.0
147	4.9	0.0	0.0	0.0	0.0
148	4.933	0.0	0.0	0.0	0.0
149	4.967	0.0	0.0	0.0	0.0
150	5.0	0.0	0.0	0.0	0.0
151	5.033	0.0	0.0	0.0	0.0
152	5.067	0.0	0.0	0.0	0.0
153	5.1	0.0	0.0	0.0	0.0
154	5.133	0.0	0.0	0.0	0.0
155	5.167	0.0	0.0	0.0	0.0
156	5.2	0.0	0.0	0.0	0.0
157	5.233	0.0	0.0	0.0	0.0
158	5.267	0.0	0.0	0.0	0.0
159	5.3	0.0	0.0	0.0	0.0
160	5.333	0.0	0.0	0.0	0.0
161	5.367	0.0	0.0	0.0	0.0
162	5.4	0.0	0.0	0.0	0.0
163	5.433	0.0	0.0	0.0	0.0
164	5.467	0.0	0.0	0.0	0.0
165	5.5	0.0	0.0	0.0	0.0
166	5.533	0.0	0.0	0.0	0.0
167	5.567	0.0	0.0	0.0	0.0
168	5.6	0.0	0.0	0.0	0.0
169	5.633	0.0	0.0	0.0	0.0
170	5.667	0.0	0.0	0.0	0.0
171	5.7	0.0	0.0	0.0	0.0
172	5.733	0.0	0.0	0.0	0.0
173	5.767	0.0	0.0	0.0	0.0
174	5.8	0.0	0.0	0.0	0.0
175	5.833	0.0	0.0	0.0	0.0
176	5.867	0.0	0.0	0.0	0.0
177	5.9	0.0	0.0	0.0	0.0
178	5.933	0.0	0.0	0.0	0.0
179	5.967	0.0	0.0	0.0	0.0
180	6.0	0.0	0.0	0.0	0.0
181	6.033	0.0	0.0	0.0	0.0
182	6.067	0.0	0.0	0.0	0.0
183	6.1	0.0	0.0	0.0	0.0
184	6.133	0.0	0.0	0.0	0.0
185	6.167	0.0	0.0	0.0	0.0
186	6.2	0.0	0.0	0.0	0.0
187	6.233	0.0	0.0	0.0	0.0
188	6.267	0.0	0.0	0.0	0.0
189	6.3	0.0	0.0	0.0	0.0
190	6.333	0.0	0.0	0.0	0.0
191	6.367	0.0	0.0	0.0	0.0
192	6.4	0.0	0.0	0.0	0.0
193	6.433	0.0	0.0	0.0	0.0
194	6.467	0.0	0.0	0.0	0.0
195	6.5	0.0	0.0	0.0	0.0
196	6.533	0.0	0.0	0.0	0.0
197	6.567	0.0	0.0	0.0	0.0
198	6.6	0.0	0.0	0.0	0.0
199	6.633	0.0	0.0	0.0	0.0
200	6.667	0.0	0.0	0.0	0.0
201	6.7	0.0	0.0	0.0	0.0
202	6.733	0.0	0.0	0.0	0.0
203	6.767	0.0	0.0	0.0	0.0
204	6.8	0.0	0.0	0.0	0.0
205	6.833	0.0	0.0	0.0	0.0
206	6.867	112.74	42.51	31.87	128.62
207	6.9	111.65	41.6	33.47	125.68
208	6.933	111.05	42.71	35.3	122.99
209	6.967	113.03	47.31	32.91	123.78
210	7.0	114.08	45.94	24.05	125.56
211	7.033	0.0	0.0	0.0	0.0
212	7.067	0.0	0.0	0.0	0.0
213	7.1	0.0	0.0	0.0	0.0
214	7.133	0.0	0.0	0.0	0.0
215	7.167	117.06	31.73	37.81	133.22
216	7.2	115.16	28.91	40.1	132.28
217	7.233	0.0	0.0	0.0	0.0
218	7.267	0.0	0.0	0.0	0.0
219	7.3	107.5	30.0	19.87	118.88
220	7.333	113.73	28.55	35.11	129.15
221	7.367	0.0	0.0	0.0	0.0
222	7.4	0.0	0.0	0.0	0.0
223	7.433	0.0	0.0	0.0	0.0
224	7.467	0.0	0.0	0.0	0.0
225	7.5	0.0	0.0	0.0	0.0
226	7.533	0.0	0.0	0.0	0.0
227	7.567	0.0	0.0	0.0	0.0
228	7.6	0.0	0.0	0.0	0.0
229	7.633	0.0	0.0	0.0	0.0
230	7.667	0.0	0.0	0.0	0.0
231	7.7	0.0	0.0	0.0	0.0
232	7.733	0.0	0.0	0.0	0.0
233	7.767	0.0	0.0	0.0	0.0
234	7.8	0.0	0.0	0.0	0.0
235	7.833	0.0	0.0	0.0	0.0
236	7.867	0.0	0.0	0.0	0.0
237	7.9	0.0	0.0	0.0	0.0
238	7.933	0.0	0.0	0.0	0.0
239	7.967	0.0	0.0	0.0	0.0
240	8.0	0.0	0.0	0.0	0.0
241	8.033	0.0	0.0	0.0	0.0
242	8.067	0.0	0.0	0.0	0.0
243	8.1	92.99	20.11	86.56	119.61
244	8.133	93.7	15.94	63.47	118.54
245	8.167	0.0	0.0	0.0	0.0
246	8.2	0.0	0.0	0.0	0.0
247	8.233	0.0	0.0	0.0	0.0
248	8.267	0.0	0.0	0.0	0.0
249	8.3	0.0	0.0	0.0	0.0
250	8.333	0.0	0.0	0.0	0.0
251	8.367	0.0	0.0	0.0	0.0
252	8.4	97.79	29.51	125.02	113.55
253	8.433	99.0	30.95	127.46	114.13
254	8.467	96.36	29.3	136.1	112.86
255	8.5	98.36	29.71	143.51	115.54
256	8.533	98.49	29.11	141.9	116.98
257	8.567	103.73	27.57	135.16	121.57
258	8.6	102.63	29.73	169.26	119.33
259	8.633	104.19	32.85	93.27	120.04
260	8.667	109.82	33.94	166.6	127.26
261	8.7	117.52	32.64	158.64	136.52
262	8.733	0.0	0.0	0.0	0.0
263	8.767	0.0	0.0	0.0	0.0
264	8.8	0.0	0.0	0.0	0.0
265	8.833	0.0	0.0	0.0	0.0
266	8.867	0.0	0.0	0.0	0.0
267	8.9	0.0	0.0	0.0	0.0
268	8.933	0.0	0.0	0.0	0.0
269	8.967	0.0	0.0	0.0	0.0
270	9.0	0.0	0.0	0.0	0.0
271	9.033	0.0	0.0	0.0	0.0
272	9.067	0.0	0.0	0.0	0.0
273	9.1	0.0	0.0	0.0	0.0
274	9.133	0.0	0.0	0.0	0.0
275	9.167	0.0	0.0	0.0	0.0
276	9.2	0.0	0.0	0.0	0.0
277	9.233	0.0	0.0	0.0	0.0
278	9.267	0.0	0.0	0.0	0.0
279	9.3	0.0	0.0	0.0	0.0
280	9.333	0.0	0.0	0.0	0.0
281	9.367	0.0	0.0	0.0	0.0
282	9.4	0.0	0.0	0.0	0.0
283	9.433	0.0	0.0	0.0	0.0
284	9.467	0.0	0.0	0.0	0.0
285	9.5	0.0	0.0	0.0	0.0
286	9.533	0.0	0.0	0.0	0.0
287	9.567	0.0	0.0	0.0	0.0
288	9.6	0.0	0.0	0.0	0.0
289	9.633	0.0	0.0	0.0	0.0
290	9.667	0.0	0.0	0.0	0.0
291	9.7	0.0	0.0	0.0	0.0
292	9.733	0.0	0.0	0.0	0.0
293	9.767	0.0	0.0	0.0	0.0
294	9.8	0.0	0.0	0.0	0.0
295	9.833	0.0	0.0	0.0	0.0
296	9.867	0.0	0.0	0.0	0.0
297	9.9	0.0	0.0	0.0	0.0
298	9.933	0.0	0.0	0.0	0.0
299	9.967	0.0	0.0	0.0	0.0
300	10.0	0.0	0.0	0.0	0.0
301	10.033	0.0	0.0	0.0	0.0
302	10.067	0.0	0.0	0.0	0.0
303	10.1	0.0	0.0	0.0	0.0
304	10.133	0.0	0.0	0.0	0.0
305	10.167	0.0	0.0	0.0	0.0
306	10.2	0.0	0.0	0.0	0.0
307	10.233	0.0	0.0	0.0	0.0
308	10.267	0.0	0.0	0.0	0.0
309	10.3	0.0	0.0	0.0	0.0
310	10.333	0.0	0.0	0.0	0.0
311	10.367	0.0	0.0	0.0	0.0
312	10.4	0.0	0.0	0.0	0.0
313	10.433	0.0	0.0	0.0	0.0
314	10.467	0.0	0.0	0.0	0.0
315	10.5	0.0	0.0	0.0	0.0
316	10.533	131.96	92.11	133.37	164.53
317	10.567	122.62	40.23	132.58	172.8
318	10.6	0.0	0.0	0.0	0.0
319	10.633	0.0	0.0	0.0	0.0
320	10.667	0.0	0.0	0.0	0.0
321	10.7	0.0	0.0	0.0	0.0
322	10.733	0.0	0.0	0.0	0.0
323	10.767	0.0	0.0	0.0	0.0
324	10.8	134.4	78.18	4.27	131.68
325	10.833	111.46	73.14	17.51	106.46
326	10.867	115.07	75.2	48.39	132.13
327	10.9	0.0	0.0	0.0	0.0
328	10.933	0.0	0.0	0.0	0.0
329	10.967	125.08	80.49	5.98	148.5
330	11.0	106.06	73.7	10.0	133.17
331	11.033	108.62	80.27	7.78	134.69
332	11.067	117.93	90.82	14.8	143.4
333	11.1	0.0	0.0	0.0	0.0
334	11.133	115.5	78.42	27.21	139.31
335	11.167	0.0	0.0	0.0	0.0
336	11.2	0.0	0.0	0.0	0.0
337	11.233	0.0	0.0	0.0	0.0
338	11.267	0.0	0.0	0.0	0.0
339	11.3	0.0	0.0	0.0	0.0
340	11.333	0.0	0.0	0.0	0.0
341	11.367	0.0	0.0	0.0	0.0
342	11.4	0.0	0.0	0.0	0.0
343	11.433	170.43	83.56	59.21	160.14
344	11.467	179.37	80.28	48.37	150.45
345	11.5	177.63	86.83	40.79	155.15
346	11.533	0.0	0.0	0.0	0.0
347	11.567	168.65	91.18	33.4	165.24
348	11.6	165.71	85.06	37.92	168.45
349	11.633	171.82	75.88	46.13	164.04
350	11.667	175.87	75.25	44.88	160.27
351	11.7	177.25	81.48	53.17	158.08
352	11.733	0.0	0.0	0.0	0.0
353	11.767	0.0	0.0	0.0	0.0
354	11.8	163.71	60.26	37.77	146.61
355	11.833	0.0	0.0	0.0	0.0
356	11.867	0.0	0.0	0.0	0.0
357	11.9	0.0	0.0	0.0	0.0
358	11.933	0.0	0.0	0.0	0.0
359	11.967	0.0	0.0	0.0	0.0
360	12.0	0.0	0.0	0.0	0.0
361	12.033	0.0	0.0	0.0	0.0
362	12.067	0.0	0.0	0.0	0.0
363	12.1	0.0	0.0	0.0	0.0
364	12.133	0.0	0.0	0.0	0.0
365	12.167	0.0	0.0	0.0	0.0
366	12.2	0.0	0.0	0.0	0.0
367	12.233	0.0	0.0	0.0	0.0
368	12.267	0.0	0.0	0.0	0.0
369	12.3	0.0	0.0	0.0	0.0
370	12.333	0.0	0.0	0.0	0.0
371	12.367	0.0	0.0	0.0	0.0
372	12.4	0.0	0.0	0.0	0.0
373	12.433	0.0	0.0	0.0	0.0
374	12.467	0.0	0.0	0.0	0.0
375	12.5	0.0	0.0	0.0	0.0
376	12.533	0.0	0.0	0.0	0.0
377	12.567	0.0	0.0	0.0	0.0
378	12.6	0.0	0.0	0.0	0.0
379	12.633	0.0	0.0	0.0	0.0
380	12.667	0.0	0.0	0.0	0.0
381	12.7	0.0	0.0	0.0	0.0
382	12.733	0.0	0.0	0.0	0.0
383	12.767	0.0	0.0	0.0	0.0
384	12.8	0.0	0.0	0.0	0.0
385	12.833	0.0	0.0	0.0	0.0
386	12.867	0.0	0.0	0.0	0.0
387	12.9	0.0	0.0	0.0	0.0
388	12.933	0.0	0.0	0.0	0.0
389	12.967	0.0	0.0	0.0	0.0
390	13.0	0.0	0.0	0.0	0.0
391	13.033	0.0	0.0	0.0	0.0
392	13.067	0.0	0.0	0.0	0.0
393	13.1	143.64	77.02	43.03	136.62
394	13.133	145.22	77.08	43.76	138.96
395	13.167	145.57	82.69	60.6	140.8
396	13.2	146.57	75.58	40.87	141.26
397	13.233	144.9	74.1	35.91	139.41
398	13.267	143.31	74.32	46.96	136.77
399	13.3	138.86	83.8	52.04	133.43
400	13.333	0.0	0.0	0.0	0.0
401	13.367	149.62	83.05	61.5	140.28
402	13.4	0.0	0.0	0.0	0.0
403	13.433	0.0	0.0	0.0	0.0
404	13.467	0.0	0.0	0.0	0.0
405	13.5	0.0	0.0	0.0	0.0
406	13.533	0.0	0.0	0.0	0.0
407	13.567	0.0	0.0	0.0	0.0
408	13.6	0.0	0.0	0.0	0.0
409	13.633	0.0	0.0	0.0	0.0
410	13.667	0.0	0.0	0.0	0.0
411	13.7	0.0	0.0	0.0	0.0
412	13.733	0.0	0.0	0.0	0.0
413	13.767	0.0	0.0	0.0	0.0
414	13.8	0.0	0.0	0.0	0.0
415	13.833	0.0	0.0	0.0	0.0
416	13.867	0.0	0.0	0.0	0.0
417	13.9	0.0	0.0	0.0	0.0
418	13.933	0.0	0.0	0.0	0.0
419	13.967	0.0	0.0	0.0	0.0
420	14.0	0.0	0.0	0.0	0.0
421	14.033	0.0	0.0	0.0	0.0
422	14.067	0.0	0.0	0.0	0.0
423	14.1	0.0	0.0	0.0	0.0
424	14.133	0.0	0.0	0.0	0.0
425	14.167	0.0	0.0	0.0	0.0
426	14.2	0.0	0.0	0.0	0.0
427	14.233	0.0	0.0	0.0	0.0
428	14.267	0.0	0.0	0.0	0.0
429	14.3	0.0	0.0	0.0	0.0
430	14.333	0.0	0.0	0.0	0.0
431	14.367	0.0	0.0	0.0	0.0
432	14.4	0.0	0.0	0.0	0.0
433	14.433	0.0	0.0	0.0	0.0
434	14.467	0.0	0.0	0.0	0.0
435	14.5	0.0	0.0	0.0	0.0
436	14.533	0.0	0.0	0.0	0.0
437	14.567	0.0	0.0	0.0	0.0
438	14.6	0.0	0.0	0.0	0.0
439	14.633	0.0	0.0	0.0	0.0
440	14.667	0.0	0.0	0.0	0.0
441	14.7	0.0	0.0	0.0	0.0
442	14.733	0.0	0.0	0.0	0.0
443	14.767	0.0	0.0	0.0	0.0
444	14.8	0.0	0.0	0.0	0.0
445	14.833	0.0	0.0	0.0	0.0
446	14.867	0.0	0.0	0.0	0.0
447	14.9	0.0	0.0	0.0	0.0
448	14.933	0.0	0.0	0.0	0.0
449	14.967	0.0	0.0	0.0	0.0
450	15.0	0.0	0.0	0.0	0.0
451	15.033	0.0	0.0	0.0	0.0
452	15.067	0.0	0.0	0.0	0.0
453	15.1	0.0	0.0	0.0	0.0
454	15.133	0.0	0.0	0.0	0.0
455	15.167	0.0	0.0	0.0	0.0
456	15.2	0.0	0.0	0.0	0.0
457	15.233	0.0	0.0	0.0	0.0
458	15.267	0.0	0.0	0.0	0.0
459	15.3	0.0	0.0	0.0	0.0
460	15.333	0.0	0.0	0.0	0.0
461	15.367	0.0	0.0	0.0	0.0
462	15.4	0.0	0.0	0.0	0.0
463	15.433	0.0	0.0	0.0	0.0
464	15.467	0.0	0.0	0.0	0.0
465	15.5	0.0	0.0	0.0	0.0
466	15.533	0.0	0.0	0.0	0.0
467	15.567	0.0	0.0	0.0	0.0
468	15.6	0.0	0.0	0.0	0.0
469	15.633	0.0	0.0	0.0	0.0
470	15.667	0.0	0.0	0.0	0.0
471	15.7	0.0	0.0	0.0	0.0
472	15.733	0.0	0.0	0.0	0.0
473	15.767	0.0	0.0	0.0	0.0
474	15.8	0.0	0.0	0.0	0.0
475	15.833	0.0	0.0	0.0	0.0
476	15.867	0.0	0.0	0.0	0.0
477	15.9	0.0	0.0	0.0	0.0
478	15.933	0.0	0.0	0.0	0.0
479	15.967	0.0	0.0	0.0	0.0
480	16.0	0.0	0.0	0.0	0.0
481	16.033	0.0	0.0	0.0	0.0
482	16.067	0.0	0.0	0.0	0.0
483	16.1	0.0	0.0	0.0	0.0
484	16.133	0.0	0.0	0.0	0.0
485	16.167	0.0	0.0	0.0	0.0
486	16.2	0.0	0.0	0.0	0.0
487	16.233	0.0	0.0	0.0	0.0
488	16.267	0.0	0.0	0.0	0.0
489	16.3	0.0	0.0	0.0	0.0
490	16.333	0.0	0.0	0.0	0.0
491	16.367	0.0	0.0	0.0	0.0
492	16.4	0.0	0.0	0.0	0.0
493	16.433	0.0	0.0	0.0	0.0
494	16.467	0.0	0.0	0.0	0.0
495	16.5	0.0	0.0	0.0	0.0
496	16.533	0.0	0.0	0.0	0.0
497	16.567	0.0	0.0	0.0	0.0
498	16.6	0.0	0.0	0.0	0.0
499	16.633	0.0	0.0	0.0	0.0
500	16.667	0.0	0.0	0.0	0.0
501	16.7	0.0	0.0	0.0	0.0
502	16.733	0.0	0.0	0.0	0.0
503	16.767	0.0	0.0	0.0	0.0
504	16.8	0.0	0.0	0.0	0.0
505	16.833	0.0	0.0	0.0	0.0
506	16.867	0.0	0.0	0.0	0.0
507	16.9	0.0	0.0	0.0	0.0
508	16.933	0.0	0.0	0.0	0.0
509	16.967	0.0	0.0	0.0	0.0
510	17.0	0.0	0.0	0.0	0.0
511	17.033	0.0	0.0	0.0	0.0
512	17.067	0.0	0.0	0.0	0.0
513	17.1	0.0	0.0	0.0	0.0
514	17.133	0.0	0.0	0.0	0.0
515	17.167	0.0	0.0	0.0	0.0
516	17.2	0.0	0.0	0.0	0.0
517	17.233	0.0	0.0	0.0	0.0
518	17.267	0.0	0.0	0.0	0.0
519	17.3	0.0	0.0	0.0	0.0
520	17.333	0.0	0.0	0.0	0.0
521	17.367	0.0	0.0	0.0	0.0
522	17.4	0.0	0.0	0.0	0.0
523	17.433	0.0	0.0	0.0	0.0
524	17.467	0.0	0.0	0.0	0.0
