Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle
175	5.833	179.57	13.22	177.17
176	5.867	176.6	4.26	174.14
177	5.9	169.13	13.29	179.63
178	5.933	167.41	21.78	174.88
179	5.967	170.01	24.22	174.8
180	6.0	167.26	33.93	174.6
181	6.033	170.76	36.18	173.79
182	6.067	168.91	36.23	172.81
183	6.1	168.65	37.15	169.67
184	6.133	169.52	39.6	173.38
185	6.167	167.94	38.35	172.23
186	6.2	165.74	38.64	172.19
187	6.233	169.0	40.75	174.78
188	6.267	174.54	30.26	159.96
189	6.3	170.46	39.6	172.72
190	6.333	175.92	38.18	163.96
191	6.367	176.56	39.15	162.45
192	6.4	173.87	43.13	164.48
193	6.433	175.44	49.06	162.11
194	6.467	176.99	55.69	160.31
195	6.5	176.13	60.19	162.68
196	6.533	179.88	61.64	170.94
197	6.567	178.66	61.21	167.73
198	6.6	175.93	57.38	161.12
199	6.633	178.14	55.6	170.62
200	6.667	174.62	52.24	160.28
201	6.7	177.38	53.15	169.04
202	6.733	172.29	51.63	160.72
203	6.767	168.48	58.93	170.69
204	6.8	172.89	51.45	159.55
205	6.833	172.46	50.86	161.42
206	6.867	172.48	50.29	159.99
207	6.9	171.86	51.81	159.83
208	6.933	176.34	48.0	163.86
209	6.967	176.52	44.27	161.81
210	7.0	177.72	43.77	160.66
211	7.033	176.07	45.71	160.95
212	7.067	177.65	45.42	161.28
213	7.1	176.48	44.71	163.53
214	7.133	176.97	43.1	159.56
215	7.167	177.03	41.05	157.34
216	7.2	177.63	38.8	153.39
217	7.233	178.59	40.68	152.61
218	7.267	178.69	43.27	150.89
219	7.3	178.86	42.05	152.35
220	7.333	179.27	42.44	151.42
221	7.367	179.75	40.55	150.86
222	7.4	179.21	39.88	150.65
223	7.433	179.82	42.85	152.62
224	7.467	178.44	39.35	151.81
225	7.5	177.82	39.87	152.93
226	7.533	177.08	41.19	153.42
227	7.567	177.12	40.91	151.42
228	7.6	177.4	43.13	154.2
229	7.633	178.01	41.9	148.62
230	7.667	178.15	42.35	150.66
231	7.7	177.81	37.79	149.93
232	7.733	178.35	40.11	148.86
233	7.767	177.98	39.1	148.24
234	7.8	175.21	34.78	164.31
235	7.833	179.07	36.95	173.06
236	7.867	179.61	34.06	172.39
237	7.9	179.31	32.39	172.09
238	7.933	178.9	32.5	173.58
239	7.967	179.04	29.76	172.54
240	8.0	178.89	29.36	173.79
241	8.033	178.89	29.46	170.43
242	8.067	178.85	28.06	171.84
243	8.1	178.82	30.89	173.35
244	8.133	177.91	31.68	170.91
245	8.167	177.73	34.53	172.03
246	8.2	176.83	33.6	172.8
247	8.233	176.34	32.18	172.44
248	8.267	176.64	32.65	171.75
249	8.3	176.86	32.77	171.42
250	8.333	176.81	32.91	171.22
251	8.367	175.38	29.28	171.17
252	8.4	175.27	26.9	173.55
253	8.433	175.47	28.06	171.46
254	8.467	175.81	26.86	169.58
255	8.5	176.33	31.18	169.15
256	8.533	175.91	31.04	167.33
257	8.567	176.82	31.07	169.65
258	8.6	176.27	32.06	170.8
259	8.633	176.06	34.53	172.13
260	8.667	176.5	40.22	170.7
261	8.7	177.17	41.69	171.83
262	8.733	176.59	39.98	169.96
263	8.767	176.44	44.89	174.1
264	8.8	175.53	47.56	174.27
265	8.833	176.26	49.62	172.68
266	8.867	175.88	48.04	172.03
267	8.9	175.51	47.49	174.54
268	8.933	176.02	49.2	174.6
269	8.967	176.08	50.33	175.47
270	9.0	176.51	46.04	175.28
271	9.033	175.79	45.48	175.07
272	9.067	176.01	43.27	172.81
273	9.1	176.14	60.01	143.05
274	9.133	176.36	61.23	142.81
275	9.167	176.36	62.24	141.22
276	9.2	176.13	63.9	136.13
277	9.233	176.19	68.45	139.55
278	9.267	175.72	66.22	138.75
279	9.3	175.66	60.41	138.85
280	9.333	176.03	62.35	137.3
281	9.367	175.9	57.9	137.54
282	9.4	175.57	50.15	137.69
283	9.433	175.92	42.71	135.88
284	9.467	175.68	47.3	134.74
285	9.5	177.05	47.27	135.24
286	9.533	177.0	43.67	138.82
287	9.567	176.57	38.71	140.64
288	9.6	177.09	33.47	140.79
289	9.633	176.94	31.24	140.59
290	9.667	178.14	27.44	143.07
291	9.7	177.81	21.09	140.33
292	9.733	177.27	18.19	141.38
293	9.767	177.36	18.47	139.54
294	9.8	177.42	17.39	136.02
295	9.833	176.78	19.91	137.93
296	9.867	176.5	23.32	139.61
297	9.9	175.81	27.68	139.88
298	9.933	175.66	37.36	143.25
299	9.967	175.62	41.93	139.87
300	10.0	174.69	54.68	137.29
301	10.033	173.9	58.91	129.9
302	10.067	172.99	67.51	134.55
303	10.1	171.46	60.24	159.14
304	10.133	171.68	70.69	146.48
305	10.167	171.13	66.08	152.59
306	10.2	171.31	68.28	154.25
307	10.233	170.91	70.88	160.05
308	10.267	171.5	68.94	160.03
309	10.3	171.34	71.18	156.82
310	10.333	171.26	68.34	156.39
311	10.367	170.78	69.75	155.16
312	10.4	170.81	69.29	156.17
313	10.433	170.47	67.06	156.41
314	10.467	170.47	66.43	153.54
315	10.5	170.36	74.21	127.43
316	10.533	170.9	65.66	153.58
317	10.567	171.36	65.27	157.16
318	10.6	171.43	66.06	158.95
319	10.633	172.01	63.26	160.06
320	10.667	171.83	60.14	163.63
321	10.7	171.42	56.52	160.93
322	10.733	171.53	55.19	157.78
323	10.767	173.37	45.76	162.36
324	10.8	172.76	40.61	131.61
325	10.833	175.06	34.62	133.05
326	10.867	175.56	29.03	130.61
327	10.9	177.07	28.05	128.82
328	10.933	177.94	27.84	135.28
329	10.967	179.06	28.06	134.28
330	11.0	178.57	28.18	135.23
331	11.033	178.24	30.18	132.46
332	11.067	176.99	31.68	131.3
333	11.1	175.49	32.4	132.23
334	11.133	178.97	43.3	140.08
335	11.167	178.31	45.67	138.55
336	11.2	177.44	46.12	138.39
337	11.233	174.87	56.74	140.1
338	11.267	175.92	62.37	139.32
339	11.3	175.63	60.48	154.43
340	11.333	173.43	60.77	150.86
341	11.367	172.65	68.65	147.83
342	11.4	172.42	68.97	149.06
343	11.433	171.9	75.38	144.41
344	11.467	171.27	74.81	139.7
345	11.5	170.79	69.68	138.12
346	11.533	168.5	69.75	140.01
347	11.567	169.86	93.0	124.89
348	11.6	169.31	94.23	125.42
349	11.633	170.34	98.42	126.33
350	11.667	168.94	100.16	125.96
351	11.7	170.44	100.12	124.53
352	11.733	165.73	87.46	142.66
353	11.767	165.32	81.53	139.91
354	11.8	167.69	78.42	136.4
355	11.833	169.11	93.27	140.92
356	11.867	166.89	72.97	127.65
357	11.9	168.61	85.24	135.97
358	11.933	167.96	72.36	120.04
359	11.967	170.16	88.59	134.74
360	12.0	169.48	84.23	133.64
361	12.033	170.16	85.06	136.58
362	12.067	173.93	94.53	134.0
363	12.1	175.63	104.73	133.98
364	12.133	176.07	96.31	132.48
365	12.167	175.99	93.79	110.01
366	12.2	172.35	82.66	128.39
367	12.233	172.84	84.74	124.6
368	12.267	174.58	90.47	128.33
369	12.3	176.41	100.35	120.05
370	12.333	175.78	91.36	114.15
371	12.367	174.75	90.05	116.38
372	12.4	174.43	87.94	113.03
373	12.433	175.26	94.56	119.56
374	12.467	174.5	88.37	118.07
375	12.5	175.73	86.24	114.84
376	12.533	176.27	86.4	109.64
377	12.567	177.02	87.63	112.75
378	12.6	176.37	89.59	110.35
379	12.633	175.22	89.84	116.55
380	12.667	175.19	84.8	115.67
381	12.7	175.65	86.73	111.51
382	12.733	175.54	83.25	119.42
383	12.767	176.89	84.74	115.75
384	12.8	176.92	87.12	118.61
385	12.833	176.57	83.18	112.86
386	12.867	176.47	76.5	116.47
387	12.9	176.56	72.42	117.73
388	12.933	176.29	72.84	116.8
389	12.967	176.02	69.94	119.22
390	13.0	175.45	70.39	122.22
