Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle	R_Chin_Angle
143	4.767	94.78	130.59	126.85	129.13
144	4.8	95.01	130.08	127.57	130.38
145	4.833	94.6	144.68	137.49	134.29
146	4.867	94.93	128.55	127.82	132.72
147	4.9	98.66	137.01	123.97	143.73
148	4.933	98.56	136.06	124.29	144.67
149	4.967	94.98	127.66	127.07	135.56
150	5.0	94.55	129.67	126.81	134.83
151	5.033	94.51	131.9	126.81	134.58
152	5.067	94.59	132.5	126.23	133.97
153	5.1	95.29	135.69	125.6	133.0
154	5.133	95.46	133.76	125.35	132.35
155	5.167	95.61	134.15	127.03	132.22
156	5.2	95.52	135.03	128.98	133.17
157	5.233	96.04	136.88	129.77	133.14
158	5.267	95.85	135.12	129.44	133.75
159	5.3	95.41	133.15	128.94	134.53
160	5.333	94.58	133.02	128.95	134.12
161	5.367	94.08	131.44	128.57	134.03
162	5.4	92.87	131.11	127.97	133.38
163	5.433	92.93	131.59	128.08	134.19
164	5.467	92.21	130.83	128.27	131.62
165	5.5	93.06	133.52	128.99	132.58
166	5.533	92.17	127.46	127.24	132.72
167	5.567	92.0	136.94	139.76	138.28
168	5.6	91.82	136.85	138.29	137.04
169	5.633	91.85	135.59	137.59	136.99
170	5.667	92.77	134.42	136.89	136.7
171	5.7	93.19	133.19	136.7	136.75
172	5.733	94.44	132.57	135.75	137.18
173	5.767	95.44	132.68	135.33	137.52
174	5.8	96.01	133.18	134.26	136.96
175	5.833	97.85	132.9	133.95	136.32
176	5.867	98.38	133.54	133.76	135.83
177	5.9	99.3	134.52	134.29	134.74
178	5.933	99.63	135.76	133.48	133.68
179	5.967	99.67	136.31	133.68	134.32
180	6.0	99.8	135.0	132.5	134.16
181	6.033	100.33	137.68	132.5	134.69
182	6.067	100.33	137.92	132.2	135.17
183	6.1	100.65	137.22	132.03	135.31
184	6.133	101.34	137.22	132.36	136.58
185	6.167	101.5	137.73	131.98	136.82
186	6.2	101.83	138.08	132.54	136.91
187	6.233	102.32	139.49	133.28	136.72
188	6.267	102.24	140.46	132.14	136.85
189	6.3	102.72	139.79	132.55	137.47
190	6.333	104.06	140.53	131.46	138.67
191	6.367	99.92	131.19	130.89	133.67
192	6.4	99.55	133.18	130.91	133.38
193	6.433	99.4	132.81	130.16	133.43
194	6.467	98.93	132.85	130.71	133.83
195	6.5	98.49	131.72	129.97	134.92
196	6.533	98.17	130.61	128.75	135.88
197	6.567	96.94	130.22	126.94	136.9
198	6.6	95.84	129.87	127.67	138.05
199	6.633	95.2	128.53	129.56	137.72
200	6.667	94.95	128.34	130.0	137.72
201	6.7	94.75	127.49	129.57	137.61
202	6.733	94.18	126.87	127.2	138.67
203	6.767	92.2	126.68	126.04	139.59
204	6.8	93.83	127.61	126.16	139.09
205	6.833	93.18	128.01	126.22	139.48
206	6.867	92.97	126.71	126.73	140.38
207	6.9	92.14	123.44	126.35	141.06
208	6.933	89.12	123.23	123.83	142.59
209	6.967	88.0	123.99	122.25	142.31
210	7.0	86.82	121.35	122.0	142.4
211	7.033	86.58	122.02	121.31	142.66
212	7.067	84.72	123.21	121.36	141.93
213	7.1	82.99	125.01	121.45	141.23
214	7.133	81.04	124.0	120.64	141.73
215	7.167	76.7	123.4	117.86	142.33
216	7.2	77.83	122.42	118.7	141.79
217	7.233	76.78	120.4	116.83	141.8
218	7.267	76.65	118.92	116.3	142.31
219	7.3	80.53	139.37	128.72	146.06
220	7.333	80.04	139.62	128.83	146.02
221	7.367	80.25	140.4	128.17	146.72
222	7.4	79.73	139.02	127.23	147.18
223	7.433	77.9	139.21	126.31	147.1
