Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle
175	6.034	177.99	95.6	65.73
176	6.069	177.73	95.69	63.52
177	6.103	178.0	94.24	63.32
178	6.138	177.25	92.0	61.36
179	6.172	177.11	90.24	60.91
180	6.207	176.1	88.57	61.92
181	6.241	175.44	85.31	63.05
182	6.276	175.07	82.97	61.17
183	6.31	173.94	80.87	64.43
184	6.345	172.96	81.15	55.49
185	6.379	173.4	83.22	54.99
186	6.414	173.53	82.64	67.57
187	6.448	173.98	83.4	61.51
188	6.483	173.78	83.31	61.73
189	6.517	174.27	81.7	66.88
190	6.552	174.52	81.96	71.03
191	6.586	174.87	81.15	73.67
192	6.621	174.76	79.2	79.41
193	6.655	175.84	78.44	87.4
194	6.69	173.03	80.85	89.37
195	6.724	173.26	87.23	102.46
196	6.759	176.1	83.2	132.84
197	6.793	175.2	83.46	142.55
198	6.828	174.6	84.0	140.06
199	6.862	175.65	83.3	132.74
200	6.897	174.84	81.81	128.55
201	6.931	173.3	85.09	114.16
202	6.966	173.33	85.76	116.45
203	7.0	172.81	88.53	114.94
204	7.034	172.32	88.39	117.89
205	7.069	172.12	89.01	113.25
206	7.103	172.33	88.99	111.7
207	7.138	174.39	86.44	130.32
208	7.172	175.43	85.45	145.74
209	7.207	175.53	83.79	152.73
210	7.241	175.59	84.93	148.12
211	7.276	175.29	81.93	151.93
212	7.31	176.22	77.39	152.04
213	7.345	176.26	76.05	139.62
214	7.379	178.1	79.19	131.45
215	7.414	178.68	82.36	109.3
216	7.448	176.91	83.54	72.36
217	7.483	178.66	91.49	67.21
218	7.517	178.08	89.4	29.74
219	7.552	175.16	90.28	65.91
220	7.586	175.5	89.6	80.1
221	7.621	175.23	89.18	75.42
222	7.655	177.05	88.09	89.5
223	7.69	170.98	88.37	102.08
224	7.724	175.15	88.4	100.66
225	7.759	172.02	89.85	77.03
226	7.793	173.73	88.65	70.75
227	7.828	177.39	82.89	93.35
228	7.862	174.31	86.4	85.97
229	7.897	178.01	82.61	85.43
230	7.931	175.27	86.58	111.07
231	7.966	177.52	85.23	114.77
232	8.0	176.05	90.49	114.66
233	8.034	177.53	87.3	132.63
234	8.069	179.0	90.41	100.64
235	8.103	179.09	86.2	118.16
236	8.138	179.58	93.94	102.2
237	8.172	179.58	94.72	141.07
238	8.207	178.38	92.38	127.06
239	8.241	175.71	92.55	147.59
240	8.276	178.68	99.66	117.29
241	8.31	172.89	95.24	134.7
242	8.345	175.53	95.17	121.05
243	8.379	177.1	93.56	125.67
244	8.414	167.69	100.6	132.19
245	8.448	169.41	98.29	137.05
246	8.483	170.36	96.9	142.42
247	8.517	173.72	92.56	128.41
248	8.552	172.16	93.18	105.85
249	8.586	178.08	95.77	102.29
250	8.621	176.03	96.61	114.92
251	8.655	179.32	98.23	90.16
252	8.69	177.91	99.68	95.2
253	8.724	178.08	95.5	124.72
254	8.759	178.86	97.74	133.45
255	8.793	173.12	105.83	159.68
256	8.828	176.44	100.04	103.46
257	8.862	170.1	94.51	100.16
258	8.897	171.02	98.1	129.0
259	8.931	177.78	97.52	113.72
260	8.966	169.21	106.19	135.75
261	9.0	173.36	98.94	135.79
262	9.034	177.96	96.75	110.05
263	9.069	177.11	95.56	112.96
264	9.103	175.7	94.81	99.58
265	9.138	176.19	92.73	103.16
266	9.172	172.57	93.84	79.58
267	9.207	176.22	91.19	85.49
268	9.241	176.01	90.23	88.76
269	9.276	175.79	90.42	86.87
270	9.31	174.9	89.45	86.13
271	9.345	175.06	89.76	92.8
272	9.379	174.59	89.52	89.07
273	9.414	169.29	92.82	82.99
274	9.448	167.46	97.6	73.46
275	9.483	177.35	92.06	93.12
276	9.517	177.93	91.7	91.92
277	9.552	178.38	91.45	90.81
278	9.586	176.36	93.07	94.66
279	9.621	176.65	92.58	100.97
280	9.655	178.61	89.83	98.49
281	9.69	178.94	88.76	100.0
282	9.724	171.66	88.32	112.49
283	9.759	170.99	87.3	116.86
284	9.793	170.15	85.96	123.97
285	9.828	171.35	83.58	128.66
286	9.862	171.08	82.62	126.96
287	9.897	171.51	81.97	126.32
288	9.931	171.95	80.85	127.88
289	9.966	172.13	78.79	123.4
290	10.0	173.74	70.74	127.86
291	10.034	174.51	64.44	127.08
292	10.069	168.05	55.44	125.51
293	10.103	169.46	49.62	128.42
294	10.138	170.0	50.1	128.86
295	10.172	168.83	51.43	128.1
296	10.207	169.78	54.01	130.45
297	10.241	170.18	51.88	129.37
298	10.276	171.37	50.91	128.55
299	10.31	170.51	52.78	131.94
300	10.345	169.67	52.79	127.59
301	10.379	172.83	50.33	124.63
302	10.414	172.72	49.93	127.14
303	10.448	169.91	50.6	121.96
304	10.483	169.83	51.25	124.99
305	10.517	170.83	51.42	125.99
306	10.552	169.53	52.79	127.74
307	10.586	170.51	52.12	127.75
308	10.621	169.89	53.27	126.31
309	10.655	169.73	54.33	125.12
310	10.69	168.93	55.61	125.21
311	10.724	169.87	54.39	122.43
312	10.759	169.7	55.07	122.04
313	10.793	168.59	55.79	124.74
314	10.828	168.37	56.49	121.01
315	10.862	169.47	55.3	122.87
316	10.897	169.99	55.78	123.61
317	10.931	169.19	56.64	123.26
318	10.966	168.67	57.72	123.02
319	11.0	168.38	58.95	127.27
320	11.034	168.17	60.25	128.63
321	11.069	170.1	60.81	133.78
322	11.103	170.84	60.71	134.83
323	11.138	170.74	61.38	136.42
324	11.172	170.99	62.03	135.4
325	11.207	170.5	60.19	137.27
326	11.241	170.46	60.66	137.2
327	11.276	171.38	60.79	136.2
328	11.31	172.15	59.73	136.73
329	11.345	172.56	59.53	137.26
330	11.379	172.4	59.82	137.21
331	11.414	172.53	58.11	139.27
332	11.448	172.25	57.74	138.38
333	11.483	172.19	58.93	136.42
334	11.517	172.62	57.78	140.15
335	11.552	172.05	59.01	139.6
336	11.586	173.59	61.59	140.04
337	11.621	174.35	66.69	137.01
338	11.655	174.64	67.9	134.37
339	11.69	175.22	65.76	131.17
340	11.724	175.17	65.61	127.22
341	11.759	174.86	68.82	123.89
342	11.793	173.46	70.79	122.81
343	11.828	173.71	69.74	119.94
344	11.862	173.44	70.18	120.26
345	11.897	172.9	70.83	122.55
346	11.931	172.28	71.22	118.91
347	11.966	173.03	71.53	119.88
348	12.0	173.25	73.49	119.13
349	12.034	173.1	75.16	114.57
350	12.069	171.88	76.01	114.55
351	12.103	173.09	75.67	115.39
352	12.138	172.89	77.73	115.46
353	12.172	172.0	80.23	117.87
354	12.207	171.03	82.66	113.19
355	12.241	170.28	85.57	115.18
356	12.276	169.67	85.65	117.66
357	12.31	169.91	84.96	119.33
358	12.345	170.07	84.89	120.7
359	12.379	170.22	85.33	119.06
360	12.414	169.66	85.6	117.65
361	12.448	171.68	85.18	118.96
362	12.483	170.59	86.27	117.54
363	12.517	168.88	87.82	117.52
364	12.552	169.66	87.74	121.09
365	12.586	169.09	88.38	121.41
366	12.621	168.29	88.6	118.91
367	12.655	168.05	87.24	120.93
368	12.69	167.01	88.48	120.92
369	12.724	166.72	88.71	123.94
370	12.759	167.35	88.54	121.5
371	12.793	167.45	88.92	124.21
372	12.828	167.09	90.47	124.39
373	12.862	167.91	90.19	122.53
374	12.897	168.34	90.77	121.25
375	12.931	168.38	91.86	120.4
376	12.966	167.76	92.06	117.88
377	13.0	167.62	93.53	119.05
378	13.034	167.83	95.37	116.78
379	13.069	167.83	95.76	115.45
380	13.103	168.33	96.19	118.66
381	13.138	168.16	96.07	117.98
382	13.172	167.5	96.96	118.55
383	13.207	168.11	97.22	116.85
384	13.241	167.94	98.23	116.73
385	13.276	168.65	96.4	113.72
386	13.31	168.55	98.41	114.21
387	13.345	168.42	99.73	106.37
388	13.379	168.08	98.92	101.06
389	13.414	171.82	96.94	89.94
390	13.448	174.23	99.18	76.41
391	13.483	173.53	97.86	74.49
392	13.517	173.56	96.91	70.68
393	13.552	173.23	98.06	65.11
394	13.586	173.47	97.65	62.62
395	13.621	174.12	99.54	53.11
396	13.655	174.12	99.65	51.67
397	13.69	174.42	98.52	44.34
398	13.724	173.19	96.75	45.87
399	13.759	173.74	96.16	54.3
400	13.793	172.56	95.21	54.32
401	13.828	172.57	94.64	51.52
402	13.862	173.31	94.88	61.95
403	13.897	173.88	94.34	73.25
404	13.931	173.25	93.03	75.57
405	13.966	172.68	94.29	83.58
406	14.0	172.91	94.82	83.39
407	14.034	172.76	93.94	82.97
408	14.069	171.79	92.76	86.96
409	14.103	172.56	94.47	76.54
410	14.138	172.67	94.35	71.17
411	14.172	172.27	94.15	79.76
412	14.207	171.78	93.63	82.63
413	14.241	171.98	92.77	84.25
414	14.276	172.56	91.81	69.81
415	14.31	172.57	92.75	73.09
416	14.345	171.87	92.12	62.14
417	14.379	172.1	92.88	51.7
418	14.414	171.96	93.75	49.74
419	14.448	172.71	93.22	46.91
420	14.483	172.68	93.22	54.96
421	14.517	171.9	92.94	56.16
422	14.552	172.27	94.64	64.04
423	14.586	173.05	92.85	67.35
424	14.621	171.67	92.44	68.57
425	14.655	171.7	93.09	71.4
426	14.69	171.94	93.0	73.43
427	14.724	172.3	92.84	73.94
428	14.759	172.81	92.48	74.51
429	14.793	172.64	93.18	74.7
430	14.828	172.16	93.46	71.53
431	14.862	172.79	93.6	69.38
432	14.897	172.16	93.43	70.93
433	14.931	170.53	94.66	68.96
434	14.966	170.2	95.01	66.63
435	15.0	170.79	94.51	66.7
436	15.034	171.03	94.69	64.85
437	15.069	170.48	95.15	66.53
438	15.103	171.29	94.35	65.87
439	15.138	171.85	94.06	65.97
440	15.172	173.13	93.01	64.82
441	15.207	173.0	92.51	63.58
442	15.241	172.86	92.52	63.78
443	15.276	173.07	92.93	63.61
444	15.31	172.0	94.27	64.54
445	15.345	171.82	93.52	64.22
446	15.379	171.96	93.51	64.84
447	15.414	171.45	93.01	63.63
448	15.448	169.32	92.08	61.65
449	15.483	172.33	91.38	70.0
450	15.517	173.93	89.75	70.76
451	15.552	174.73	87.37	77.04
452	15.586	175.1	86.79	77.87
453	15.621	171.46	87.02	81.07
454	15.655	171.34	85.98	87.49
455	15.69	171.04	84.8	84.98
456	15.724	170.8	83.9	85.85
