Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle	R_Chin_Angle
143	4.931	173.06	71.69	99.45	105.69
144	4.966	173.06	71.69	99.45	105.69
145	5.0	174.16	70.1	123.95	102.01
146	5.034	174.16	70.1	123.95	102.01
147	5.069	174.16	70.1	123.95	102.01
148	5.103	174.66	72.88	102.66	107.43
149	5.138	174.66	72.88	102.66	107.43
150	5.172	174.66	72.88	102.66	107.43
151	5.207	175.03	71.8	99.73	105.19
152	5.241	175.03	71.8	99.73	105.19
153	5.276	175.03	71.8	99.73	105.19
154	5.31	175.64	73.48	93.87	103.44
155	5.345	175.64	73.48	93.87	103.44
156	5.379	175.64	73.48	93.87	103.44
157	5.414	175.53	75.37	92.02	103.61
158	5.448	175.53	75.37	92.02	103.61
159	5.483	175.53	75.37	92.02	103.61
160	5.517	174.66	76.72	92.41	101.46
161	5.552	174.66	76.72	92.41	101.46
162	5.586	174.66	76.72	92.41	101.46
163	5.621	175.0	75.56	90.52	102.0
164	5.655	175.0	75.56	90.52	102.0
165	5.69	175.0	75.56	90.52	102.0
166	5.724	175.01	78.14	86.65	100.88
167	5.759	175.01	78.14	86.65	100.88
168	5.793	175.01	78.14	86.65	100.88
169	5.828	175.16	79.4	84.75	101.11
170	5.862	175.16	79.4	84.75	101.11
171	5.897	175.16	79.4	84.75	101.11
172	5.931	175.85	80.69	77.41	101.33
173	5.966	175.85	80.69	77.41	101.33
174	6.0	175.85	80.69	77.41	101.33
175	6.034	175.26	79.97	76.96	103.6
176	6.069	175.26	79.97	76.96	103.6
177	6.103	175.26	79.97	76.96	103.6
178	6.138	176.44	78.44	84.93	104.61
179	6.172	176.44	78.44	84.93	104.61
180	6.207	176.44	78.44	84.93	104.61
181	6.241	175.55	79.54	80.73	103.9
182	6.276	175.55	79.54	80.73	103.9
183	6.31	175.55	79.54	80.73	103.9
184	6.345	175.6	81.47	83.87	104.79
185	6.379	175.6	81.47	83.87	104.79
186	6.414	175.6	81.47	83.87	104.79
187	6.448	176.36	77.23	90.43	104.25
188	6.483	176.36	77.23	90.43	104.25
189	6.517	176.36	77.23	90.43	104.25
190	6.552	173.43	81.73	83.37	99.92
191	6.586	173.43	81.73	83.37	99.92
192	6.621	173.43	81.73	83.37	99.92
193	6.655	173.38	79.31	72.96	102.18
194	6.69	173.38	79.31	72.96	102.18
195	6.724	173.38	79.31	72.96	102.18
196	6.759	173.76	72.98	85.89	106.55
197	6.793	173.76	72.98	85.89	106.55
198	6.828	173.76	72.98	85.89	106.55
199	6.862	173.34	73.29	86.19	109.9
200	6.897	173.34	73.29	86.19	109.9
201	6.931	173.34	73.29	86.19	109.9
202	6.966	174.26	67.49	85.52	113.24
203	7.0	174.26	67.49	85.52	113.24
204	7.034	174.26	67.49	85.52	113.24
205	7.069	173.85	66.72	80.9	115.3
206	7.103	173.85	66.72	80.9	115.3
207	7.138	173.85	66.72	80.9	115.3
208	7.172	174.49	61.0	87.87	117.21
209	7.207	174.49	61.0	87.87	117.21
210	7.241	174.49	61.0	87.87	117.21
211	7.276	171.98	64.32	79.32	117.83
212	7.31	171.98	64.32	79.32	117.83
213	7.345	171.98	64.32	79.32	117.83
214	7.379	171.38	66.36	87.93	120.03
215	7.414	171.38	66.36	87.93	120.03
216	7.448	171.38	66.36	87.93	120.03
217	7.483	173.13	62.05	93.87	122.49
218	7.517	173.13	62.05	93.87	122.49
219	7.552	173.13	62.05	93.87	122.49
220	7.586	172.8	64.15	92.64	124.22
221	7.621	172.8	64.15	92.64	124.22
222	7.655	172.8	64.15	92.64	124.22
223	7.69	172.5	67.1	96.97	111.58
224	7.724	172.5	67.1	96.97	111.58
225	7.759	172.5	67.1	96.97	111.58
226	7.793	169.67	68.91	117.76	109.14
227	7.828	169.67	68.91	117.76	109.14
228	7.862	169.67	68.91	117.76	109.14
229	7.897	172.81	67.74	135.31	111.25
230	7.931	172.81	67.74	135.31	111.25
231	7.966	172.81	67.74	135.31	111.25
232	8.0	173.7	67.47	139.39	110.97
233	8.034	173.7	67.47	139.39	110.97
234	8.069	173.7	67.47	139.39	110.97
235	8.103	174.63	68.35	137.57	110.99
236	8.138	174.63	68.35	137.57	110.99
237	8.172	174.63	68.35	137.57	110.99
238	8.207	173.73	74.02	139.22	109.61
239	8.241	173.73	74.02	139.22	109.61
240	8.276	173.73	74.02	139.22	109.61
241	8.31	174.97	68.16	141.49	110.12
242	8.345	174.97	68.16	141.49	110.12
243	8.379	174.97	68.16	141.49	110.12
244	8.414	175.65	72.17	142.35	112.65
245	8.448	175.65	72.17	142.35	112.65
246	8.483	175.65	72.17	142.35	112.65
247	8.517	177.6	69.05	143.92	114.73
248	8.552	177.6	69.05	143.92	114.73
249	8.586	177.6	69.05	143.92	114.73
250	8.621	177.34	69.65	142.64	114.75
251	8.655	177.34	69.65	142.64	114.75
252	8.69	177.34	69.65	142.64	114.75
253	8.724	176.38	70.17	133.29	114.55
254	8.759	176.38	70.17	133.29	114.55
255	8.793	176.38	70.17	133.29	114.55
256	8.828	174.15	73.4	135.69	114.93
257	8.862	174.15	73.4	135.69	114.93
258	8.897	174.15	73.4	135.69	114.93
259	8.931	174.73	71.25	138.4	116.21
260	8.966	174.73	71.25	138.4	116.21
261	9.0	174.73	71.25	138.4	116.21
262	9.034	174.93	71.85	139.64	113.61
