Frame	Time	Nose_X	Nose_Y	L_Eye_X	L_Eye_Y	R_Eye_X	R_Eye_Y	L_Ear_X	L_Ear_Y	R_Ear_X	R_Ear_Y	L_Shoulder_X	L_Shoulder_Y	R_Shoulder_X	R_Shoulder_Y	L_Elbow_X	L_Elbow_Y	R_Elbow_X	R_Elbow_Y	L_Wrist_X	L_Wrist_Y	R_Wrist_X	R_Wrist_Y	L_Hip_X	L_Hip_Y	R_Hip_X	R_Hip_Y	L_Knee_X	L_Knee_Y	R_Knee_X	R_Knee_Y	L_Ankle_X	L_Ankle_Y	R_Ankle_X	R_Ankle_Y
21	0.7	72.64	50.2	0.0	0.0	71.4	47.09	0.0	0.0	63.6	47.31	56.03	53.03	61.07	62.4	0.0	0.0	66.35	78.43	74.72	63.72	74.81	70.11	33.12	64.2	37.28	75.41	28.96	63.71	29.76	79.09	18.84	59.88	18.98	66.33
22	0.733	72.65	50.35	0.0	0.0	71.41	47.21	0.0	0.0	63.58	47.4	56.06	53.14	61.11	62.59	0.0	0.0	66.29	78.64	74.6	63.89	74.73	70.11	33.14	64.48	37.3	75.75	28.89	63.84	29.66	79.31	18.56	59.84	18.64	66.27
23	0.767	72.56	50.42	0.0	0.0	71.39	47.28	0.0	0.0	63.72	47.51	55.96	53.25	61.17	62.49	0.0	0.0	66.23	78.39	74.28	64.02	74.78	70.35	32.91	64.49	37.18	75.63	28.56	64.08	29.41	79.32	18.53	60.06	18.52	66.31
24	0.8	72.67	50.42	0.0	0.0	71.41	47.29	0.0	0.0	63.61	47.58	56.08	53.6	61.15	62.64	0.0	0.0	66.28	78.36	74.47	64.03	75.04	70.34	33.13	64.6	37.28	75.67	28.39	64.21	29.16	79.37	18.59	59.85	18.47	66.16
25	0.833	72.69	50.77	0.0	0.0	71.47	47.69	0.0	0.0	63.71	47.85	56.04	53.16	61.11	62.46	0.0	0.0	66.33	78.29	74.56	64.09	75.01	70.15	32.86	63.99	37.08	75.17	28.49	63.32	29.27	78.68	18.42	59.62	18.54	66.08
26	0.867	72.58	50.82	0.0	0.0	71.44	47.7	0.0	0.0	63.77	47.8	55.82	53.24	61.04	62.37	0.0	0.0	66.24	78.38	74.1	64.04	75.0	70.35	32.76	64.16	37.06	75.22	28.56	63.67	29.36	78.81	18.53	60.03	18.65	66.29
27	0.9	72.54	50.94	0.0	0.0	71.41	47.84	0.0	0.0	63.72	47.97	55.6	53.24	60.92	62.47	0.0	0.0	66.22	78.25	74.08	63.96	75.04	70.37	32.41	64.0	36.76	75.08	28.51	63.31	29.49	78.45	18.57	59.72	18.86	65.98
28	0.933	72.44	51.11	0.0	0.0	71.39	47.98	0.0	0.0	63.83	47.91	55.61	53.05	60.96	62.44	0.0	0.0	66.1	78.4	73.9	63.8	74.77	70.2	32.63	63.84	36.99	75.03	28.95	62.99	29.88	78.29	18.95	59.19	19.38	65.53
29	0.967	72.41	51.18	0.0	0.0	71.37	48.05	0.0	0.0	63.76	47.95	55.58	53.1	60.83	62.6	0.0	0.0	66.02	78.37	73.92	63.75	74.67	69.96	32.51	63.84	36.8	75.07	28.58	63.26	29.48	78.6	18.61	59.51	19.03	65.66
30	1.0	72.4	51.09	0.0	0.0	71.37	47.93	0.0	0.0	63.77	47.82	55.64	53.35	60.87	62.57	0.0	0.0	65.88	78.25	74.01	63.81	74.58	69.7	32.75	63.97	37.03	75.09	28.32	63.34	29.1	78.56	18.43	59.41	18.69	65.42
31	1.033	72.39	50.87	0.0	0.0	71.35	47.79	0.0	0.0	63.81	47.77	55.95	53.16	60.77	62.3	0.0	0.0	65.71	77.93	73.76	63.42	74.13	69.67	33.34	63.4	37.35	74.46	28.3	62.9	28.7	78.11	18.56	59.06	18.81	65.21
32	1.067	72.13	50.99	0.0	0.0	71.15	47.89	0.0	0.0	63.74	47.78	55.78	52.98	60.62	62.61	0.0	0.0	65.59	78.18	73.81	63.47	74.08	69.45	33.16	63.5	37.23	74.8	28.78	62.66	29.17	78.26	18.45	58.79	19.01	65.17
33	1.1	72.07	50.81	0.0	0.0	71.07	47.69	0.0	0.0	63.69	47.6	55.94	52.84	60.84	62.58	0.0	0.0	66.12	78.28	73.97	63.48	74.52	69.42	33.25	63.41	37.34	74.8	28.46	62.75	28.89	78.42	18.29	58.94	18.66	65.05
