Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle
175	5.833	70.16	74.63	107.34
176	5.867	70.4	75.34	108.19
177	5.9	70.34	75.78	108.13
178	5.933	70.76	77.75	107.12
179	5.967	70.29	77.47	107.28
180	6.0	69.8	76.45	108.0
181	6.033	69.28	75.6	104.54
182	6.067	69.48	75.29	105.34
183	6.1	69.68	76.52	103.93
184	6.133	69.28	76.8	104.31
185	6.167	68.81	78.19	104.33
186	6.2	68.71	79.24	104.59
187	6.233	67.79	79.39	104.08
188	6.267	67.53	80.44	104.34
189	6.3	67.88	78.81	105.44
190	6.333	67.62	77.93	105.07
191	6.367	67.66	78.89	104.81
192	6.4	68.56	77.38	105.05
193	6.433	69.97	77.2	107.96
194	6.467	69.59	76.33	107.81
195	6.5	70.21	75.3	106.61
196	6.533	70.13	73.83	107.04
197	6.567	70.09	75.82	105.84
198	6.6	70.53	74.85	107.85
199	6.633	70.06	74.65	105.84
200	6.667	69.75	73.49	105.06
201	6.7	70.36	73.39	104.79
202	6.733	69.8	72.23	104.89
203	6.767	69.99	71.57	104.06
204	6.8	69.48	72.36	102.63
205	6.833	69.41	73.16	104.17
206	6.867	68.51	71.95	104.16
207	6.9	68.2	71.36	103.33
208	6.933	67.48	70.52	104.19
209	6.967	68.83	71.75	104.93
210	7.0	67.73	71.85	104.63
211	7.033	67.66	71.94	104.12
212	7.067	68.01	71.52	104.85
213	7.1	67.92	71.36	105.23
214	7.133	67.03	71.47	104.85
215	7.167	66.37	71.96	104.38
216	7.2	66.46	71.9	104.61
217	7.233	66.35	75.06	100.59
218	7.267	66.31	73.94	102.15
219	7.3	66.94	76.26	102.65
220	7.333	67.31	74.79	101.12
221	7.367	67.38	75.17	102.94
222	7.4	68.21	73.75	102.24
223	7.433	68.42	73.22	101.94
224	7.467	67.92	74.55	101.44
225	7.5	67.44	73.3	101.61
226	7.533	66.45	71.86	100.64
227	7.567	66.54	70.85	99.68
228	7.6	66.04	72.17	100.12
229	7.633	65.67	72.43	98.33
230	7.667	65.93	75.16	99.0
231	7.7	65.1	77.16	99.61
232	7.733	65.8	77.84	99.91
233	7.767	65.44	78.33	100.98
234	7.8	66.19	81.44	102.51
235	7.833	65.76	80.5	101.94
236	7.867	66.42	80.25	101.46
237	7.9	66.01	78.25	102.53
238	7.933	64.79	78.11	103.43
239	7.967	64.7	80.44	103.63
240	8.0	65.28	81.02	103.17
241	8.033	63.41	81.67	101.77
242	8.067	62.82	80.28	101.82
243	8.1	63.16	77.58	101.99
244	8.133	63.45	77.88	102.02
245	8.167	63.55	77.04	101.52
246	8.2	65.11	80.15	101.53
247	8.233	65.59	81.14	100.43
248	8.267	65.13	81.07	100.09
249	8.3	64.51	81.72	100.02
250	8.333	64.84	81.65	100.79
251	8.367	64.2	81.76	103.05
252	8.4	65.88	83.2	103.47
253	8.433	65.5	78.41	104.53
254	8.467	65.95	78.48	104.9
255	8.5	66.4	78.81	105.1
256	8.533	67.21	79.22	106.47
257	8.567	66.02	81.04	107.69
258	8.6	69.13	81.39	105.95
259	8.633	70.86	81.21	105.29
260	8.667	72.32	81.84	104.76
261	8.7	73.65	83.7	103.22
262	8.733	73.59	84.94	98.91
263	8.767	75.1	90.43	96.51
264	8.8	75.75	87.32	96.9
265	8.833	79.07	91.41	98.4
266	8.867	83.71	90.08	99.61
267	8.9	84.46	91.32	99.46
268	8.933	83.22	94.61	98.9
269	8.967	82.94	98.76	97.2
270	9.0	80.34	94.4	94.14
271	9.033	81.36	95.63	93.87
272	9.067	82.38	95.97	94.59
273	9.1	84.83	96.95	94.14
274	9.133	81.57	86.39	92.12
275	9.167	85.83	92.28	93.05
276	9.2	81.98	86.54	90.81
277	9.233	83.13	82.7	94.61
278	9.267	83.3	84.64	93.98
279	9.3	83.57	85.19	96.92
280	9.333	82.78	84.13	96.54
281	9.367	82.97	86.12	97.37
282	9.4	82.31	84.22	98.2
