Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle
175	5.833	33.05	44.94	58.47
176	5.867	32.53	48.09	57.54
177	5.9	30.84	41.12	57.48
178	5.933	31.4	38.29	60.54
179	5.967	29.88	45.73	58.81
180	6.0	32.34	43.97	61.36
181	6.033	32.37	45.59	57.37
182	6.067	40.7	54.97	74.97
183	6.1	30.07	62.06	59.81
184	6.133	33.55	62.63	61.15
185	6.167	33.47	66.12	66.86
186	6.2	31.09	63.28	67.68
187	6.233	32.07	68.33	67.62
188	6.267	24.58	63.03	61.69
189	6.3	25.25	63.01	63.21
190	6.333	25.88	63.02	63.04
191	6.367	25.62	58.4	60.65
192	6.4	30.14	56.33	59.3
193	6.433	30.82	48.96	65.66
194	6.467	34.65	47.9	67.9
195	6.5	31.17	53.1	63.64
196	6.533	31.68	58.03	62.2
197	6.567	32.7	58.91	62.08
198	6.6	30.78	58.68	59.61
199	6.633	28.3	61.37	54.62
200	6.667	27.86	62.71	55.14
201	6.7	27.53	57.3	58.26
202	6.733	27.54	59.01	60.39
203	6.767	42.86	69.69	63.67
204	6.8	30.14	62.89	61.16
205	6.833	46.32	63.82	68.31
206	6.867	34.9	46.7	67.71
207	6.9	35.64	48.61	68.21
208	6.933	34.93	58.69	66.03
209	6.967	36.31	56.25	65.5
210	7.0	35.29	53.02	68.23
211	7.033	34.93	50.51	66.72
212	7.067	38.44	55.86	64.77
213	7.1	38.11	59.93	64.81
214	7.133	34.6	50.08	59.37
215	7.167	37.38	57.92	61.89
216	7.2	36.89	51.0	59.62
217	7.233	36.34	38.96	57.56
218	7.267	36.97	34.12	59.42
219	7.3	35.02	41.02	59.19
220	7.333	35.92	43.49	56.16
221	7.367	33.88	41.27	55.82
222	7.4	34.31	58.0	67.8
223	7.433	35.92	59.73	69.68
224	7.467	38.01	59.87	72.19
225	7.5	35.03	65.81	72.94
226	7.533	33.02	68.36	71.86
227	7.567	35.0	70.22	68.78
228	7.6	33.25	65.32	67.57
229	7.633	38.23	52.06	76.67
230	7.667	36.4	50.33	79.12
231	7.7	36.77	47.34	79.1
232	7.733	34.36	45.04	59.28
233	7.767	37.75	51.74	82.57
234	7.8	38.63	51.15	81.08
235	7.833	39.46	45.92	85.66
236	7.867	37.56	48.17	82.24
237	7.9	35.79	48.97	81.34
