Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle
1	0.067	53.3	81.94	97.16
2	0.133	52.43	81.77	95.82
3	0.2	53.49	69.56	103.95
4	0.267	53.15	85.72	97.44
5	0.333	53.56	84.92	97.9
6	0.4	53.2	84.6	96.21
7	0.467	53.9	89.26	97.03
8	0.533	52.87	89.33	95.66
9	0.6	51.42	86.97	93.96
10	0.667	52.18	87.94	94.23
11	0.733	52.24	89.85	93.49
12	0.8	52.56	91.35	93.47
13	0.867	52.83	91.76	93.05
14	0.933	56.08	89.72	99.47
15	1.0	53.28	89.75	93.83
16	1.067	52.79	84.94	93.26
17	1.133	54.33	79.76	93.58
18	1.2	54.42	82.32	94.36
19	1.267	52.99	81.83	92.4
20	1.333	53.84	82.32	92.2
21	1.4	54.35	84.1	96.32
22	1.467	53.96	79.52	94.45
23	1.533	54.39	81.33	93.51
24	1.6	54.94	83.82	93.23
25	1.667	54.88	85.74	95.3
26	1.733	55.5	87.38	95.85
27	1.8	55.78	89.22	96.65
28	1.867	55.37	88.51	97.38
29	1.933	56.34	92.34	100.69
30	2.0	55.92	100.46	100.19
31	2.067	57.21	92.78	101.26
32	2.133	56.77	87.68	101.26
33	2.2	55.93	88.8	101.9
34	2.267	55.61	92.64	101.37
35	2.333	55.1	95.56	97.53
36	2.4	53.93	95.65	97.58
37	2.467	53.36	95.52	96.65
38	2.533	53.37	92.41	95.65
39	2.6	53.78	88.35	93.77
40	2.667	54.92	89.48	94.05
41	2.733	56.18	81.53	95.11
42	2.8	56.43	83.2	96.71
43	2.867	55.35	72.81	99.19
44	2.933	56.24	84.62	102.77
45	3.0	54.29	83.04	99.45
46	3.067	56.06	89.13	100.46
47	3.133	56.4	84.85	98.11
48	3.2	56.9	83.88	98.91
49	3.267	55.83	86.58	99.12
50	3.333	57.38	84.07	100.58
51	3.4	56.3	85.93	100.24
52	3.467	53.76	66.53	99.61
53	3.533	53.89	75.84	99.69
54	3.6	53.5	75.51	99.85
55	3.667	53.12	65.79	102.04
56	3.733	54.96	76.4	101.12
57	3.8	54.89	77.68	100.85
58	3.867	53.91	63.2	103.18
59	3.933	54.03	71.91	102.08
60	4.0	54.12	72.32	101.74
61	4.067	54.88	70.87	102.02
62	4.133	54.17	72.64	99.39
63	4.2	53.39	63.85	102.9
64	4.267	54.0	64.71	103.45
65	4.333	54.79	64.75	104.89
66	4.4	54.29	64.35	104.25
67	4.467	54.27	62.61	104.83
68	4.533	54.8	61.43	106.31
69	4.6	54.34	61.5	105.56
70	4.667	54.77	61.54	104.58
71	4.733	55.12	61.11	105.03
72	4.8	55.94	64.36	106.02
73	4.867	55.59	62.96	106.3
74	4.933	56.88	62.58	103.91
75	5.0	56.86	61.13	105.64
76	5.067	57.19	54.37	106.24
77	5.133	55.87	65.4	106.22
78	5.2	57.69	75.57	104.62
79	5.267	58.28	72.19	106.31
80	5.333	57.96	75.17	107.08
81	5.4	58.35	75.8	100.93
82	5.467	60.24	88.35	106.95
83	5.533	57.79	74.21	106.23
84	5.6	58.77	80.11	105.76
85	5.667	60.39	88.91	106.76
86	5.733	60.07	81.26	103.53
87	5.8	59.42	83.65	94.81
88	5.867	56.17	80.28	99.53
89	5.933	55.27	87.08	105.24
90	6.0	52.36	75.4	99.65
91	6.067	49.18	71.94	97.17
92	6.133	47.16	81.67	104.21
93	6.2	46.68	67.83	106.05
94	6.267	42.96	78.67	105.76
95	6.333	40.95	75.16	103.73
96	6.4	45.11	69.43	93.44
97	6.467	44.54	87.37	90.35
98	6.533	43.69	79.54	99.7
99	6.6	46.2	83.98	103.34
100	6.667	47.7	77.1	105.88
101	6.733	46.61	70.05	100.75
102	6.8	44.28	60.67	88.07
103	6.867	33.91	51.52	83.83
104	6.933	30.03	46.23	79.91
105	7.0	32.77	61.82	84.84
106	7.067	34.2	77.15	90.54
107	7.133	29.45	84.39	89.56
108	7.2	28.92	89.51	89.19
109	7.267	32.04	85.23	91.15
110	7.333	32.24	81.48	94.57
111	7.4	47.8	94.67	101.22
112	7.467	45.78	88.56	101.7
113	7.533	48.49	91.66	105.68
114	7.6	46.96	90.91	101.04
115	7.667	50.02	97.91	98.09
116	7.733	48.79	126.45	102.68
117	7.8	49.75	132.31	100.26
118	7.867	48.8	114.7	93.81
119	7.933	49.81	108.69	89.75
120	8.0	50.54	105.69	83.86
121	8.067	51.92	90.76	77.25
122	8.133	50.19	100.25	75.88
123	8.2	43.67	54.06	67.76
124	8.267	44.98	101.27	79.0
125	8.333	43.91	93.44	70.9
126	8.4	45.36	106.36	76.63
127	8.467	45.15	106.01	76.84
128	8.533	44.81	93.49	78.5
129	8.6	49.08	162.35	70.96
130	8.667	54.46	161.21	88.59
131	8.733	54.4	146.75	71.88
132	8.8	54.22	164.28	85.53
133	8.867	54.31	163.52	88.89
134	8.933	55.25	163.32	85.22
135	9.0	55.13	166.55	85.53
136	9.067	54.89	166.91	83.61
137	9.133	55.71	152.13	82.89
138	9.2	48.15	117.24	68.05
139	9.267	54.78	127.83	85.68
140	9.333	48.57	116.24	71.09
141	9.4	58.47	108.51	79.25
142	9.467	61.5	107.42	79.45
143	9.533	60.6	110.09	80.09
144	9.6	58.45	114.04	76.77
145	9.667	59.36	105.06	77.84
146	9.733	57.08	111.4	76.45
147	9.8	52.95	107.35	71.36
148	9.867	52.82	113.83	71.47
149	9.933	50.89	120.49	63.54
150	10.0	48.14	130.38	64.92
151	10.067	44.87	137.59	58.64
152	10.133	52.27	155.16	84.52
153	10.2	46.58	153.69	66.27
154	10.267	47.96	166.03	70.45
155	10.333	53.33	174.89	80.02
156	10.4	52.43	171.46	80.14
157	10.467	51.94	166.73	80.81
158	10.533	54.5	150.23	82.01
159	10.6	59.9	151.73	83.01
160	10.667	59.32	143.58	85.14
161	10.733	55.77	142.34	84.14
162	10.8	58.3	135.54	83.76
163	10.867	56.49	131.27	84.51
164	10.933	57.84	125.35	83.35
165	11.0	58.02	121.14	82.19
166	11.067	58.91	118.17	83.31
167	11.133	60.26	123.41	82.53
168	11.2	64.11	128.3	86.85
169	11.267	58.5	130.72	80.83
170	11.333	53.75	136.89	66.35
171	11.4	53.97	147.31	62.83
172	11.467	57.24	177.01	73.73
173	11.533	58.06	179.51	77.52
174	11.6	57.23	172.55	77.43
175	11.667	59.01	164.56	80.27
176	11.733	61.34	170.27	82.51
177	11.8	59.58	171.6	78.06
