Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle
175	5.833	83.04	108.27	107.44
176	5.867	83.79	108.53	108.03
177	5.9	83.98	107.22	107.7
178	5.933	84.28	106.57	109.95
179	5.967	84.44	105.29	111.26
180	6.0	84.39	102.36	112.89
181	6.033	84.57	100.99	113.37
182	6.067	83.55	100.9	113.29
183	6.1	82.52	99.11	112.68
184	6.133	84.03	106.94	111.84
185	6.167	84.26	109.03	111.52
186	6.2	84.19	109.33	111.31
187	6.233	83.81	108.7	111.2
188	6.267	83.57	106.34	110.81
189	6.3	83.27	105.66	110.67
190	6.333	82.82	104.47	109.95
191	6.367	82.63	105.81	110.15
192	6.4	82.98	104.1	109.77
193	6.433	83.45	102.87	109.34
194	6.467	83.59	101.63	109.19
195	6.5	83.73	100.55	110.64
196	6.533	84.25	100.54	111.65
197	6.567	85.14	100.24	112.07
198	6.6	87.12	103.51	111.19
199	6.633	87.26	103.85	111.97
200	6.667	86.88	103.45	112.21
201	6.7	86.45	102.43	112.28
202	6.733	86.77	101.39	113.29
203	6.767	86.7	99.06	114.19
204	6.8	86.93	96.65	114.8
205	6.833	86.13	94.72	116.92
206	6.867	86.89	91.67	117.99
207	6.9	86.57	94.3	116.8
208	6.933	86.65	96.69	114.01
209	6.967	86.94	97.19	112.62
210	7.0	86.55	98.55	111.6
211	7.033	85.45	100.18	108.27
212	7.067	85.08	100.32	110.77
213	7.1	84.02	98.96	111.39
214	7.133	84.34	98.32	112.29
215	7.167	83.9	96.64	114.83
216	7.2	85.07	99.8	111.38
217	7.233	85.64	103.27	109.57
218	7.267	85.62	104.8	109.89
219	7.3	86.48	105.62	110.45
220	7.333	85.4	105.39	112.79
221	7.367	85.38	105.85	112.27
222	7.4	83.99	111.19	113.49
223	7.433	80.44	108.79	113.6
224	7.467	80.56	108.3	112.6
225	7.5	80.73	110.76	107.99
226	7.533	80.79	112.39	100.95
227	7.567	79.7	113.84	96.13
228	7.6	80.35	112.26	89.56
229	7.633	80.73	111.55	84.82
230	7.667	81.02	110.53	76.25
231	7.7	81.12	111.09	75.54
232	7.733	81.84	112.05	75.14
233	7.767	82.62	110.53	76.34
234	7.8	82.2	110.77	76.73
235	7.833	81.82	110.4	78.95
236	7.867	81.6	117.05	85.97
237	7.9	81.68	116.61	88.92
238	7.933	81.48	110.02	87.34
239	7.967	83.06	110.87	94.14
240	8.0	83.14	110.7	98.69
241	8.033	77.35	109.27	99.46
242	8.067	83.35	111.31	99.49
243	8.1	82.89	110.51	101.94
244	8.133	83.2	111.49	103.19
245	8.167	83.47	111.75	106.02
246	8.2	83.67	110.36	107.14
247	8.233	82.81	107.39	106.77
248	8.267	82.87	106.01	108.24
249	8.3	80.89	102.67	108.37
250	8.333	79.52	96.31	109.23
251	8.367	79.59	96.36	109.53
252	8.4	79.4	95.74	109.18
253	8.433	78.73	93.77	106.92
254	8.467	78.14	95.73	109.02
255	8.5	77.63	94.92	109.75
256	8.533	77.82	97.47	107.7
257	8.567	77.79	97.65	108.66
258	8.6	77.65	97.33	108.73
259	8.633	77.3	98.01	108.2
260	8.667	77.14	99.44	107.16
261	8.7	76.75	99.1	105.12
262	8.733	76.99	98.38	106.31
263	8.767	77.51	105.17	111.66
264	8.8	77.22	104.5	110.17
265	8.833	76.62	103.68	109.37
266	8.867	76.2	104.23	107.31
267	8.9	75.53	104.98	106.81
268	8.933	75.47	103.95	105.45
269	8.967	77.06	105.61	104.65
270	9.0	77.92	106.6	104.46
271	9.033	78.02	107.55	104.35
272	9.067	78.15	107.88	104.91
273	9.1	78.69	108.36	105.42
274	9.133	79.03	108.91	106.02
275	9.167	80.23	110.97	105.96
276	9.2	80.25	109.91	107.27
277	9.233	81.52	108.74	108.15
278	9.267	82.08	108.56	110.27
279	9.3	81.54	108.68	109.97
280	9.333	80.03	107.11	111.4
281	9.367	79.56	105.96	113.29
282	9.4	78.17	105.09	113.6
283	9.433	78.17	105.2	114.42
284	9.467	78.35	105.18	113.04
285	9.5	78.39	104.26	114.08
286	9.533	79.21	102.52	115.69
287	9.567	79.68	103.95	117.03
288	9.6	80.22	103.62	116.68
289	9.633	80.28	104.69	116.75
290	9.667	79.64	104.38	116.2
291	9.7	78.7	101.75	115.71
292	9.733	77.76	100.29	113.61
293	9.767	77.0	99.2	113.46
294	9.8	76.38	98.84	113.68
295	9.833	75.25	99.61	114.31
296	9.867	74.85	100.47	114.78
297	9.9	74.47	101.33	115.43
298	9.933	75.13	102.8	116.15
299	9.967	75.97	103.45	115.98
300	10.0	76.88	105.22	117.08
301	10.033	77.94	106.06	118.47
302	10.067	78.47	106.12	114.84
303	10.1	79.44	107.4	113.03
304	10.133	79.63	106.31	113.56
305	10.167	80.41	107.69	112.86
306	10.2	81.18	109.04	113.54
307	10.233	81.28	111.15	109.79
308	10.267	81.52	109.34	114.71
309	10.3	80.49	110.38	112.29
310	10.333	79.58	111.56	113.02
311	10.367	77.75	110.37	118.7
312	10.4	77.22	111.32	115.54
313	10.433	77.0	109.45	115.52
314	10.467	77.1	106.31	116.67
315	10.5	78.87	104.59	118.58
316	10.533	79.98	102.43	119.62
317	10.567	82.47	103.18	117.9
318	10.6	82.85	104.57	115.1
319	10.633	82.11	103.18	115.55
320	10.667	81.32	101.26	119.84
321	10.7	81.11	100.62	120.59
322	10.733	80.37	102.09	120.06
323	10.767	79.31	103.91	119.16
324	10.8	78.33	105.03	119.06
325	10.833	78.69	104.98	118.13
326	10.867	79.15	104.69	119.43
327	10.9	79.54	105.35	120.33
328	10.933	79.65	106.04	119.95
329	10.967	80.24	104.64	118.32
330	11.0	79.98	104.2	118.95
331	11.033	80.06	104.06	118.26
332	11.067	79.71	103.77	118.86
333	11.1	79.19	103.47	120.03
334	11.133	79.19	100.66	119.74
