Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle	R_Chin_Angle
1	0.033	168.44	4.0	43.25	101.99
2	0.067	168.44	4.0	43.25	101.99
3	0.1	168.44	4.0	43.25	101.99
4	0.133	169.72	69.69	41.1	105.85
5	0.167	169.72	69.69	41.1	105.85
6	0.2	169.72	69.69	41.1	105.85
7	0.233	170.9	4.48	61.89	104.34
8	0.267	170.9	4.48	61.89	104.34
9	0.3	170.9	4.48	61.89	104.34
10	0.333	172.7	53.47	61.63	109.65
11	0.367	172.7	53.47	61.63	109.65
12	0.4	172.7	53.47	61.63	109.65
13	0.433	167.66	50.54	43.04	102.6
14	0.467	167.66	50.54	43.04	102.6
15	0.5	167.66	50.54	43.04	102.6
16	0.533	169.74	53.38	39.38	104.42
17	0.567	169.74	53.38	39.38	104.42
18	0.6	169.74	53.38	39.38	104.42
19	0.633	166.86	18.59	13.45	112.05
20	0.667	166.86	18.59	13.45	112.05
21	0.7	166.86	18.59	13.45	112.05
22	0.733	171.74	28.51	51.96	126.16
23	0.767	171.74	28.51	51.96	126.16
24	0.8	171.74	28.51	51.96	126.16
25	0.833	174.66	38.04	50.41	130.36
26	0.867	174.66	38.04	50.41	130.36
27	0.9	174.66	38.04	50.41	130.36
28	0.933	175.68	49.29	59.31	135.83
29	0.967	175.68	49.29	59.31	135.83
30	1.0	175.68	49.29	59.31	135.83
31	1.033	174.74	47.59	58.15	133.12
32	1.067	174.74	47.59	58.15	133.12
33	1.1	174.74	47.59	58.15	133.12
34	1.133	174.81	44.83	54.76	122.87
35	1.167	174.81	44.83	54.76	122.87
36	1.2	174.81	44.83	54.76	122.87
37	1.233	178.26	19.27	114.46	126.13
38	1.267	178.26	19.27	114.46	126.13
39	1.3	178.26	19.27	114.46	126.13
40	1.333	174.59	17.19	120.07	136.66
41	1.367	174.59	17.19	120.07	136.66
42	1.4	174.59	17.19	120.07	136.66
43	1.433	169.13	17.56	109.27	144.77
44	1.467	169.13	17.56	109.27	144.77
45	1.5	169.13	17.56	109.27	144.77
46	1.533	171.91	9.33	87.61	141.87
47	1.567	171.91	9.33	87.61	141.87
48	1.6	171.91	9.33	87.61	141.87
49	1.633	172.53	11.3	91.67	134.89
50	1.667	172.53	11.3	91.67	134.89
51	1.7	172.53	11.3	91.67	134.89
52	1.733	177.28	4.14	70.07	133.15
53	1.767	177.28	4.14	70.07	133.15
54	1.8	177.28	4.14	70.07	133.15
55	1.833	178.67	6.51	55.64	129.23
56	1.867	178.67	6.51	55.64	129.23
57	1.9	178.67	6.51	55.64	129.23
58	1.933	177.64	4.72	58.92	126.53
59	1.967	177.64	4.72	58.92	126.53
60	2.0	177.64	4.72	58.92	126.53
61	2.033	173.68	14.39	83.88	129.83
62	2.067	173.68	14.39	83.88	129.83
63	2.1	173.68	14.39	83.88	129.83
64	2.133	169.76	88.87	36.62	114.3
65	2.167	169.76	88.87	36.62	114.3
66	2.2	169.76	88.87	36.62	114.3
67	2.233	170.7	74.07	28.83	108.8
68	2.267	170.7	74.07	28.83	108.8
69	2.3	170.7	74.07	28.83	108.8
70	2.333	168.24	77.93	11.4	109.17
71	2.367	168.24	77.93	11.4	109.17
72	2.4	168.24	77.93	11.4	109.17
73	2.433	169.87	76.96	8.99	111.0
74	2.467	169.87	76.96	8.99	111.0
75	2.5	169.87	76.96	8.99	111.0
76	2.533	171.4	84.5	37.22	103.74
77	2.567	171.4	84.5	37.22	103.74
78	2.6	171.4	84.5	37.22	103.74
79	2.633	176.26	88.04	54.23	105.62
80	2.667	176.26	88.04	54.23	105.62
81	2.7	176.26	88.04	54.23	105.62
82	2.733	175.63	97.75	38.93	101.75
83	2.767	175.63	97.75	38.93	101.75
84	2.8	175.63	97.75	38.93	101.75
85	2.833	174.25	99.78	43.03	101.57
86	2.867	174.25	99.78	43.03	101.57
87	2.9	174.25	99.78	43.03	101.57
88	2.933	176.27	87.77	59.01	99.95
89	2.967	176.27	87.77	59.01	99.95
90	3.0	176.27	87.77	59.01	99.95
91	3.033	175.19	79.26	32.42	95.71
92	3.067	175.19	79.26	32.42	95.71
93	3.1	175.19	79.26	32.42	95.71
94	3.133	174.53	85.53	41.44	103.66
95	3.167	174.53	85.53	41.44	103.66
96	3.2	174.53	85.53	41.44	103.66
97	3.233	178.16	92.05	44.67	96.59
98	3.267	178.16	92.05	44.67	96.59
99	3.3	178.16	92.05	44.67	96.59
100	3.333	174.68	83.52	31.97	103.62
101	3.367	174.68	83.52	31.97	103.62
102	3.4	174.68	83.52	31.97	103.62
103	3.433	173.81	74.06	24.56	103.71
104	3.467	173.81	74.06	24.56	103.71
105	3.5	173.81	74.06	24.56	103.71
106	3.533	176.84	82.48	35.99	99.92
107	3.567	176.84	82.48	35.99	99.92
108	3.6	176.84	82.48	35.99	99.92
109	3.633	179.87	83.57	41.72	96.66
110	3.667	179.87	83.57	41.72	96.66
111	3.7	179.87	83.57	41.72	96.66
112	3.733	177.68	77.35	41.13	97.98
113	3.767	177.68	77.35	41.13	97.98
114	3.8	177.68	77.35	41.13	97.98
115	3.833	178.58	82.89	51.19	97.97
116	3.867	178.58	82.89	51.19	97.97
117	3.9	178.58	82.89	51.19	97.97
