Frame	Time	Nose_X	Nose_Y	L_Eye_X	L_Eye_Y	R_Eye_X	R_Eye_Y	L_Ear_X	L_Ear_Y	R_Ear_X	R_Ear_Y	L_Shoulder_X	L_Shoulder_Y	R_Shoulder_X	R_Shoulder_Y	L_Elbow_X	L_Elbow_Y	R_Elbow_X	R_Elbow_Y	L_Wrist_X	L_Wrist_Y	R_Wrist_X	R_Wrist_Y	L_Hip_X	L_Hip_Y	R_Hip_X	R_Hip_Y	L_Knee_X	L_Knee_Y	R_Knee_X	R_Knee_Y	L_Ankle_X	L_Ankle_Y	R_Ankle_X	R_Ankle_Y
21	0.7	45.84	48.37	43.54	47.13	43.4	52.45	44.33	51.74	45.72	65.67	54.36	52.27	54.2	67.44	62.33	45.99	60.78	75.28	66.25	41.13	51.61	70.04	68.73	54.29	70.39	63.65	70.8	41.69	70.32	50.67	74.16	51.85	71.88	59.1
22	0.733	44.84	45.49	42.97	44.14	42.55	48.33	43.3	48.33	43.81	59.88	51.74	50.15	49.93	64.21	60.65	46.16	54.97	74.01	64.81	41.58	46.48	68.23	70.08	53.6	71.1	63.42	71.2	44.14	72.52	53.35	76.84	53.39	77.02	60.16
23	0.767	44.84	45.49	42.97	44.14	42.55	48.33	43.3	48.33	43.81	59.88	51.74	50.15	49.93	64.21	60.65	46.16	54.97	74.01	64.81	41.58	46.48	68.23	70.08	53.6	71.1	63.42	71.2	44.14	72.52	53.35	76.84	53.39	77.02	60.16
24	0.8	44.84	45.49	42.97	44.14	42.55	48.33	43.3	48.33	43.81	59.88	51.74	50.15	49.93	64.21	60.65	46.16	54.97	74.01	64.81	41.58	46.48	68.23	70.08	53.6	71.1	63.42	71.2	44.14	72.52	53.35	76.84	53.39	77.02	60.16
25	0.833	44.73	44.61	43.02	43.29	42.35	47.14	43.3	47.61	43.15	58.53	51.07	50.36	49.02	64.02	60.64	46.16	54.6	73.73	64.74	42.01	44.26	70.17	69.56	54.69	70.31	64.46	71.41	45.91	72.53	55.26	76.28	54.56	75.72	61.91
26	0.867	44.73	44.61	43.02	43.29	42.35	47.14	43.3	47.61	43.15	58.53	51.07	50.36	49.02	64.02	60.64	46.16	54.6	73.73	64.74	42.01	44.26	70.17	69.56	54.69	70.31	64.46	71.41	45.91	72.53	55.26	76.28	54.56	75.72	61.91
27	0.9	44.73	44.61	43.02	43.29	42.35	47.14	43.3	47.61	43.15	58.53	51.07	50.36	49.02	64.02	60.64	46.16	54.6	73.73	64.74	42.01	44.26	70.17	69.56	54.69	70.31	64.46	71.41	45.91	72.53	55.26	76.28	54.56	75.72	61.91
28	0.933	44.65	43.21	43.17	42.49	42.67	45.22	43.0	47.71	43.28	56.02	49.74	51.67	48.22	61.84	57.36	49.08	53.79	71.95	61.03	41.87	43.64	70.91	68.75	54.14	69.78	62.54	71.02	46.15	72.33	53.79	76.55	54.41	76.51	60.9
29	0.967	44.65	43.21	43.17	42.49	42.67	45.22	43.0	47.71	43.28	56.02	49.74	51.67	48.22	61.84	57.36	49.08	53.79	71.95	61.03	41.87	43.64	70.91	68.75	54.14	69.78	62.54	71.02	46.15	72.33	53.79	76.55	54.41	76.51	60.9
30	1.0	44.65	43.21	43.17	42.49	42.67	45.22	43.0	47.71	43.28	56.02	49.74	51.67	48.22	61.84	57.36	49.08	53.79	71.95	61.03	41.87	43.64	70.91	68.75	54.14	69.78	62.54	71.02	46.15	72.33	53.79	76.55	54.41	76.51	60.9
