Frame	Time	Nose_X	Nose_Y	L_Eye_X	L_Eye_Y	R_Eye_X	R_Eye_Y	L_Ear_X	L_Ear_Y	R_Ear_X	R_Ear_Y	L_Shoulder_X	L_Shoulder_Y	R_Shoulder_X	R_Shoulder_Y	L_Elbow_X	L_Elbow_Y	R_Elbow_X	R_Elbow_Y	L_Wrist_X	L_Wrist_Y	R_Wrist_X	R_Wrist_Y	L_Hip_X	L_Hip_Y	R_Hip_X	R_Hip_Y	L_Knee_X	L_Knee_Y	R_Knee_X	R_Knee_Y	L_Ankle_X	L_Ankle_Y	R_Ankle_X	R_Ankle_Y
1	0.033	26.07	42.15	23.34	41.13	23.61	47.22	23.37	44.67	24.57	61.21	32.67	44.29	32.89	59.13	41.21	29.8	41.97	53.03	38.32	27.02	38.17	39.89	56.97	43.73	59.21	57.51	69.43	38.16	74.01	54.47	83.36	45.48	86.59	57.07
2	0.067	26.36	42.04	23.62	41.09	23.91	47.15	23.63	44.83	24.94	61.32	33.01	44.13	33.45	59.4	41.73	29.33	42.65	53.52	38.58	27.19	38.44	40.0	57.1	43.39	59.59	57.22	69.01	37.75	73.82	54.17	82.92	44.95	86.21	56.67
3	0.1	26.15	42.29	23.4	41.22	23.76	47.41	23.38	44.7	24.83	61.44	32.56	43.94	33.38	59.6	40.88	29.08	42.69	54.16	37.81	27.4	38.76	41.13	56.87	43.37	59.53	57.47	68.95	37.68	73.87	54.45	83.08	45.14	86.36	56.78
4	0.133	25.98	43.12	23.41	41.97	23.52	48.07	23.79	45.53	24.94	61.89	32.38	44.91	32.91	59.54	40.07	28.97	42.09	52.64	35.91	27.06	38.09	40.14	56.13	43.55	58.49	57.12	68.27	38.37	73.12	54.21	83.52	45.63	86.25	57.44
5	0.167	26.13	43.08	23.45	41.92	23.55	48.18	23.56	45.62	24.79	62.37	32.03	45.01	33.0	59.87	39.52	28.88	41.85	52.16	35.43	27.16	36.92	39.04	55.9	43.48	58.59	57.15	67.96	38.24	72.98	54.2	83.42	45.66	86.05	57.76
6	0.2	25.56	42.95	22.96	41.73	22.9	48.04	23.46	45.13	24.12	62.0	32.14	44.86	32.18	59.21	39.46	29.32	40.93	51.8	34.65	26.84	36.24	39.52	56.09	43.58	58.06	57.12	68.5	38.57	73.1	54.15	84.01	45.86	86.62	57.61
7	0.233	24.99	41.53	22.11	40.76	22.58	46.71	22.07	44.78	23.71	61.1	31.49	44.61	32.33	58.44	39.72	29.52	41.05	50.61	36.2	25.72	36.69	36.82	56.65	43.47	59.25	57.0	69.37	38.11	74.04	54.03	83.31	44.46	86.67	56.61
8	0.267	25.69	42.78	22.94	41.45	23.18	47.91	22.91	44.71	24.26	61.86	31.34	44.25	32.01	59.18	38.45	28.56	40.8	52.54	34.05	25.74	36.85	40.31	55.33	42.94	57.68	56.87	68.12	38.24	72.92	54.14	83.79	45.64	86.63	57.19
9	0.3	25.55	42.84	22.8	41.61	23.15	47.86	22.63	44.99	24.21	61.65	30.9	44.46	31.72	58.99	38.0	29.23	40.4	52.57	33.5	25.93	36.01	39.3	54.9	42.94	57.36	56.66	67.64	38.66	72.47	54.09	83.13	45.6	86.27	56.95
10	0.333	26.21	42.93	23.53	41.75	23.74	47.91	23.3	45.04	24.58	61.5	31.23	44.56	31.84	58.52	37.89	29.41	40.14	51.28	33.31	25.03	35.83	38.15	54.95	43.26	57.22	56.74	67.71	38.57	72.45	54.02	83.51	45.45	86.38	56.95
11	0.367	26.15	42.68	23.5	41.64	23.69	47.62	23.45	45.17	24.62	61.26	31.51	44.73	31.98	58.16	38.32	29.5	40.51	50.67	33.86	24.95	36.3	38.01	55.49	43.1	57.64	56.35	68.55	38.62	73.12	53.77	83.85	45.39	86.75	56.98
12	0.4	26.31	42.01	23.41	41.28	23.97	46.98	22.67	45.22	24.43	60.95	31.37	45.01	32.36	58.17	38.95	30.44	40.55	49.89	35.27	24.91	36.15	35.17	56.51	43.33	59.17	56.6	69.13	38.22	73.92	53.77	83.02	44.05	86.37	56.01
13	0.433	26.19	42.06	23.22	41.21	23.81	47.01	22.32	44.96	24.17	60.94	30.92	44.91	32.16	58.31	38.55	30.69	40.58	50.53	34.99	25.01	36.35	36.07	56.17	43.07	59.01	56.49	68.9	37.75	73.8	53.5	82.99	43.66	86.28	55.69
14	0.467	26.32	42.03	23.43	41.22	23.88	47.01	22.81	45.03	24.33	60.97	31.48	45.02	32.43	58.22	39.07	30.87	40.84	50.33	35.09	24.91	36.33	35.89	56.74	43.37	59.38	56.72	69.59	37.97	74.4	53.74	83.7	43.55	86.9	55.72
