Frame	Time	Nose_X	Nose_Y	L_Eye_X	L_Eye_Y	R_Eye_X	R_Eye_Y	L_Ear_X	L_Ear_Y	R_Ear_X	R_Ear_Y	L_Shoulder_X	L_Shoulder_Y	R_Shoulder_X	R_Shoulder_Y	L_Elbow_X	L_Elbow_Y	R_Elbow_X	R_Elbow_Y	L_Wrist_X	L_Wrist_Y	R_Wrist_X	R_Wrist_Y	L_Hip_X	L_Hip_Y	R_Hip_X	R_Hip_Y	L_Knee_X	L_Knee_Y	R_Knee_X	R_Knee_Y	L_Ankle_X	L_Ankle_Y	R_Ankle_X	R_Ankle_Y
1	0.034	29.16	39.64	26.76	39.16	26.63	43.05	25.96	44.47	26.41	55.87	34.54	48.65	33.84	58.99	44.17	43.89	44.86	57.74	45.28	39.93	41.47	42.67	56.02	49.53	57.25	58.21	58.37	38.19	61.35	46.55	64.0	46.23	67.28	54.42
2	0.069	29.16	39.64	26.76	39.16	26.63	43.05	25.96	44.47	26.41	55.87	34.54	48.65	33.84	58.99	44.17	43.89	44.86	57.74	45.28	39.93	41.47	42.67	56.02	49.53	57.25	58.21	58.37	38.19	61.35	46.55	64.0	46.23	67.28	54.42
3	0.103	29.16	39.64	26.76	39.16	26.63	43.05	25.96	44.47	26.41	55.87	34.54	48.65	33.84	58.99	44.17	43.89	44.86	57.74	45.28	39.93	41.47	42.67	56.02	49.53	57.25	58.21	58.37	38.19	61.35	46.55	64.0	46.23	67.28	54.42
4	0.138	28.99	39.76	26.47	39.24	26.35	43.24	25.54	44.47	25.97	56.24	34.01	48.68	33.58	59.26	43.47	44.31	44.71	58.77	45.01	40.01	41.3	43.92	56.08	49.29	57.47	58.18	58.68	38.21	61.87	46.4	64.01	45.53	67.62	53.63
5	0.172	28.99	39.76	26.47	39.24	26.35	43.24	25.54	44.47	25.97	56.24	34.01	48.68	33.58	59.26	43.47	44.31	44.71	58.77	45.01	40.01	41.3	43.92	56.08	49.29	57.47	58.18	58.68	38.21	61.87	46.4	64.01	45.53	67.62	53.63
6	0.207	28.99	39.76	26.47	39.24	26.35	43.24	25.54	44.47	25.97	56.24	34.01	48.68	33.58	59.26	43.47	44.31	44.71	58.77	45.01	40.01	41.3	43.92	56.08	49.29	57.47	58.18	58.68	38.21	61.87	46.4	64.01	45.53	67.62	53.63
7	0.241	28.89	39.77	26.63	39.43	26.5	43.16	26.71	45.08	27.15	56.1	35.45	48.47	34.99	59.06	43.2	43.38	45.5	58.14	45.15	39.99	41.56	43.16	57.53	48.39	58.74	57.26	60.37	35.9	62.94	45.46	65.14	44.78	67.8	53.68
8	0.276	28.89	39.77	26.63	39.43	26.5	43.16	26.71	45.08	27.15	56.1	35.45	48.47	34.99	59.06	43.2	43.38	45.5	58.14	45.15	39.99	41.56	43.16	57.53	48.39	58.74	57.26	60.37	35.9	62.94	45.46	65.14	44.78	67.8	53.68
9	0.31	28.89	39.77	26.63	39.43	26.5	43.16	26.71	45.08	27.15	56.1	35.45	48.47	34.99	59.06	43.2	43.38	45.5	58.14	45.15	39.99	41.56	43.16	57.53	48.39	58.74	57.26	60.37	35.9	62.94	45.46	65.14	44.78	67.8	53.68
10	0.345	28.79	39.86	26.55	39.49	26.4	43.22	26.63	45.1	27.04	56.13	35.23	48.52	34.89	59.25	42.9	43.52	45.43	58.68	44.95	40.0	41.47	43.39	57.28	48.4	58.55	57.28	59.92	35.8	62.55	45.24	64.7	44.43	67.37	53.19
11	0.379	28.79	39.86	26.55	39.49	26.4	43.22	26.63	45.1	27.04	56.13	35.23	48.52	34.89	59.25	42.9	43.52	45.43	58.68	44.95	40.0	41.47	43.39	57.28	48.4	58.55	57.28	59.92	35.8	62.55	45.24	64.7	44.43	67.37	53.19
12	0.414	28.79	39.86	26.55	39.49	26.4	43.22	26.63	45.1	27.04	56.13	35.23	48.52	34.89	59.25	42.9	43.52	45.43	58.68	44.95	40.0	41.47	43.39	57.28	48.4	58.55	57.28	59.92	35.8	62.55	45.24	64.7	44.43	67.37	53.19
13	0.448	28.77	40.15	26.62	39.77	26.39	43.47	26.79	45.41	26.99	56.29	35.3	49.09	34.86	59.45	43.36	43.82	45.5	58.15	45.2	40.61	41.61	43.8	56.97	48.53	58.23	57.21	59.22	36.09	62.11	45.69	64.82	43.94	67.46	53.01
14	0.483	28.77	40.15	26.62	39.77	26.39	43.47	26.79	45.41	26.99	56.29	35.3	49.09	34.86	59.45	43.36	43.82	45.5	58.15	45.2	40.61	41.61	43.8	56.97	48.53	58.23	57.21	59.22	36.09	62.11	45.69	64.82	43.94	67.46	53.01
15	0.517	28.77	40.15	26.62	39.77	26.39	43.47	26.79	45.41	26.99	56.29	35.3	49.09	34.86	59.45	43.36	43.82	45.5	58.15	45.2	40.61	41.61	43.8	56.97	48.53	58.23	57.21	59.22	36.09	62.11	45.69	64.82	43.94	67.46	53.01
16	0.552	28.79	40.34	26.6	40.02	26.42	43.71	26.72	45.73	27.08	56.65	35.33	49.17	35.04	59.69	43.6	43.62	45.91	58.28	45.36	40.94	42.03	43.67	57.34	48.55	58.67	57.31	59.34	35.95	62.28	45.66	65.0	43.86	67.56	53.04
17	0.586	28.79	40.34	26.6	40.02	26.42	43.71	26.72	45.73	27.08	56.65	35.33	49.17	35.04	59.69	43.6	43.62	45.91	58.28	45.36	40.94	42.03	43.67	57.34	48.55	58.67	57.31	59.34	35.95	62.28	45.66	65.0	43.86	67.56	53.04
18	0.621	28.79	40.34	26.6	40.02	26.42	43.71	26.72	45.73	27.08	56.65	35.33	49.17	35.04	59.69	43.6	43.62	45.91	58.28	45.36	40.94	42.03	43.67	57.34	48.55	58.67	57.31	59.34	35.95	62.28	45.66	65.0	43.86	67.56	53.04
19	0.655	28.67	40.26	26.46	39.85	26.3	43.57	26.56	45.44	26.95	56.42	35.2	48.9	34.81	59.69	43.36	43.72	45.52	58.98	45.38	41.07	41.77	44.11	57.61	48.07	58.94	57.04	59.73	36.13	62.66	45.84	65.41	44.44	68.07	53.24
20	0.69	28.67	40.26	26.46	39.85	26.3	43.57	26.56	45.44	26.95	56.42	35.2	48.9	34.81	59.69	43.36	43.72	45.52	58.98	45.38	41.07	41.77	44.11	57.61	48.07	58.94	57.04	59.73	36.13	62.66	45.84	65.41	44.44	68.07	53.24
21	0.724	28.67	40.26	26.46	39.85	26.3	43.57	26.56	45.44	26.95	56.42	35.2	48.9	34.81	59.69	43.36	43.72	45.52	58.98	45.38	41.07	41.77	44.11	57.61	48.07	58.94	57.04	59.73	36.13	62.66	45.84	65.41	44.44	68.07	53.24
22	0.759	28.62	40.2	26.46	39.72	26.22	43.48	26.7	45.21	26.86	56.3	35.34	48.7	34.7	59.82	43.47	43.7	45.36	59.55	45.65	41.12	41.47	44.62	57.95	48.08	59.13	57.24	59.99	35.87	62.92	45.83	65.73	44.95	68.4	53.73
23	0.793	28.62	40.2	26.46	39.72	26.22	43.48	26.7	45.21	26.86	56.3	35.34	48.7	34.7	59.82	43.47	43.7	45.36	59.55	45.65	41.12	41.47	44.62	57.95	48.08	59.13	57.24	59.99	35.87	62.92	45.83	65.73	44.95	68.4	53.73
24	0.828	28.62	40.2	26.46	39.72	26.22	43.48	26.7	45.21	26.86	56.3	35.34	48.7	34.7	59.82	43.47	43.7	45.36	59.55	45.65	41.12	41.47	44.62	57.95	48.08	59.13	57.24	59.99	35.87	62.92	45.83	65.73	44.95	68.4	53.73
25	0.862	28.8	39.83	26.69	39.41	26.42	43.14	27.02	45.0	27.08	55.98	35.62	48.52	34.93	59.49	43.6	43.34	45.84	58.88	45.42	40.73	42.14	43.8	58.02	48.04	59.12	57.15	60.19	35.75	63.1	45.83	66.1	44.53	68.79	53.5
26	0.897	28.8	39.83	26.69	39.41	26.42	43.14	27.02	45.0	27.08	55.98	35.62	48.52	34.93	59.49	43.6	43.34	45.84	58.88	45.42	40.73	42.14	43.8	58.02	48.04	59.12	57.15	60.19	35.75	63.1	45.83	66.1	44.53	68.79	53.5
27	0.931	28.8	39.83	26.69	39.41	26.42	43.14	27.02	45.0	27.08	55.98	35.62	48.52	34.93	59.49	43.6	43.34	45.84	58.88	45.42	40.73	42.14	43.8	58.02	48.04	59.12	57.15	60.19	35.75	63.1	45.83	66.1	44.53	68.79	53.5
28	0.966	28.73	39.8	26.61	39.35	26.34	43.07	27.0	44.85	26.99	55.89	35.63	48.25	34.76	59.5	43.6	43.14	45.56	59.28	45.53	40.59	42.06	44.01	58.22	47.74	59.22	57.05	60.81	35.67	63.6	45.92	66.32	45.17	68.97	54.12
29	1.0	28.73	39.8	26.61	39.35	26.34	43.07	27.0	44.85	26.99	55.89	35.63	48.25	34.76	59.5	43.6	43.14	45.56	59.28	45.53	40.59	42.06	44.01	58.22	47.74	59.22	57.05	60.81	35.67	63.6	45.92	66.32	45.17	68.97	54.12
30	1.034	28.73	39.8	26.61	39.35	26.34	43.07	27.0	44.85	26.99	55.89	35.63	48.25	34.76	59.5	43.6	43.14	45.56	59.28	45.53	40.59	42.06	44.01	58.22	47.74	59.22	57.05	60.81	35.67	63.6	45.92	66.32	45.17	68.97	54.12
31	1.069	28.49	39.76	26.32	39.29	26.14	43.06	26.68	44.78	26.77	55.96	35.44	48.13	34.53	59.71	43.8	42.64	45.56	59.42	45.42	40.73	42.2	44.01	58.08	47.68	59.09	57.29	61.58	35.62	64.33	46.24	66.87	45.0	69.47	54.22
32	1.103	28.49	39.76	26.32	39.29	26.14	43.06	26.68	44.78	26.77	55.96	35.44	48.13	34.53	59.71	43.8	42.64	45.56	59.42	45.42	40.73	42.2	44.01	58.08	47.68	59.09	57.29	61.58	35.62	64.33	46.24	66.87	45.0	69.47	54.22
33	1.138	28.49	39.76	26.32	39.29	26.14	43.06	26.68	44.78	26.77	55.96	35.44	48.13	34.53	59.71	43.8	42.64	45.56	59.42	45.42	40.73	42.2	44.01	58.08	47.68	59.09	57.29	61.58	35.62	64.33	46.24	66.87	45.0	69.47	54.22
34	1.172	28.44	39.7	26.38	38.8	25.71	43.09	26.61	43.84	25.78	56.18	34.46	47.97	33.86	59.95	43.58	42.25	45.41	59.0	45.62	40.31	42.09	44.32	56.75	48.2	57.99	58.1	60.19	37.13	63.52	46.98	68.52	44.05	70.15	52.7
35	1.207	28.44	39.7	26.38	38.8	25.71	43.09	26.61	43.84	25.78	56.18	34.46	47.97	33.86	59.95	43.58	42.25	45.41	59.0	45.62	40.31	42.09	44.32	56.75	48.2	57.99	58.1	60.19	37.13	63.52	46.98	68.52	44.05	70.15	52.7
36	1.241	28.44	39.7	26.38	38.8	25.71	43.09	26.61	43.84	25.78	56.18	34.46	47.97	33.86	59.95	43.58	42.25	45.41	59.0	45.62	40.31	42.09	44.32	56.75	48.2	57.99	58.1	60.19	37.13	63.52	46.98	68.52	44.05	70.15	52.7
37	1.276	27.94	39.18	25.57	38.3	25.14	43.03	25.3	43.2	24.75	56.71	33.83	47.23	33.08	59.23	45.46	42.55	45.9	58.74	45.92	40.4	41.7	43.48	57.86	48.15	58.7	58.9	63.16	38.05	65.7	48.83	74.36	43.68	74.39	52.95
38	1.31	27.94	39.18	25.57	38.3	25.14	43.03	25.3	43.2	24.75	56.71	33.83	47.23	33.08	59.23	45.46	42.55	45.9	58.74	45.92	40.4	41.7	43.48	57.86	48.15	58.7	58.9	63.16	38.05	65.7	48.83	74.36	43.68	74.39	52.95
39	1.345	27.94	39.18	25.57	38.3	25.14	43.03	25.3	43.2	24.75	56.71	33.83	47.23	33.08	59.23	45.46	42.55	45.9	58.74	45.92	40.4	41.7	43.48	57.86	48.15	58.7	58.9	63.16	38.05	65.7	48.83	74.36	43.68	74.39	52.95
40	1.379	27.8	39.49	25.73	38.55	24.99	43.06	26.15	43.76	24.79	56.75	34.97	48.38	32.91	59.17	45.55	43.42	45.94	58.45	45.63	40.53	41.84	43.58	58.9	49.97	58.36	60.19	67.75	41.67	67.04	50.75	78.36	51.59	74.71	59.21
41	1.414	27.8	39.49	25.73	38.55	24.99	43.06	26.15	43.76	24.79	56.75	34.97	48.38	32.91	59.17	45.55	43.42	45.94	58.45	45.63	40.53	41.84	43.58	58.9	49.97	58.36	60.19	67.75	41.67	67.04	50.75	78.36	51.59	74.71	59.21
42	1.448	27.8	39.49	25.73	38.55	24.99	43.06	26.15	43.76	24.79	56.75	34.97	48.38	32.91	59.17	45.55	43.42	45.94	58.45	45.63	40.53	41.84	43.58	58.9	49.97	58.36	60.19	67.75	41.67	67.04	50.75	78.36	51.59	74.71	59.21
43	1.483	28.45	39.63	26.28	38.69	25.71	43.05	26.39	43.69	25.1	56.44	35.76	48.36	33.08	59.13	46.96	43.83	45.91	58.67	45.95	40.67	42.41	42.87	59.8	49.8	59.25	60.2	68.52	42.14	69.07	52.17	77.52	52.69	76.53	61.35
44	1.517	28.45	39.63	26.28	38.69	25.71	43.05	26.39	43.69	25.1	56.44	35.76	48.36	33.08	59.13	46.96	43.83	45.91	58.67	45.95	40.67	42.41	42.87	59.8	49.8	59.25	60.2	68.52	42.14	69.07	52.17	77.52	52.69	76.53	61.35
45	1.552	28.45	39.63	26.28	38.69	25.71	43.05	26.39	43.69	25.1	56.44	35.76	48.36	33.08	59.13	46.96	43.83	45.91	58.67	45.95	40.67	42.41	42.87	59.8	49.8	59.25	60.2	68.52	42.14	69.07	52.17	77.52	52.69	76.53	61.35
46	1.586	28.46	39.57	26.31	38.65	25.71	42.99	26.57	43.68	25.19	56.4	35.95	48.2	33.2	59.15	47.18	43.65	45.98	58.89	45.92	40.61	42.38	42.77	60.17	49.68	59.61	60.21	68.83	42.27	69.59	52.59	77.88	52.64	77.12	61.59
