Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle
1	0.033	99.58	135.96	122.29
2	0.067	100.37	135.48	122.17
3	0.1	89.81	132.15	123.21
4	0.133	90.54	130.23	122.85
5	0.167	91.03	128.88	122.02
6	0.2	90.38	129.93	121.77
7	0.233	91.09	130.19	121.57
8	0.267	97.16	131.72	121.32
9	0.3	96.72	131.17	122.51
10	0.333	95.72	131.39	122.52
11	0.367	94.01	131.76	122.87
12	0.4	93.6	131.33	123.32
13	0.433	94.11	130.44	123.48
14	0.467	94.17	129.26	121.97
15	0.5	93.89	129.24	121.01
16	0.533	93.42	129.9	122.02
17	0.567	93.85	131.1	122.47
18	0.6	92.96	131.82	122.16
19	0.633	92.18	130.47	120.24
20	0.667	90.42	129.61	120.14
21	0.7	90.99	130.73	119.44
22	0.733	90.77	133.79	118.89
23	0.767	88.63	133.13	117.76
24	0.8	89.46	135.1	117.76
25	0.833	90.87	137.54	117.6
26	0.867	92.82	138.34	118.12
27	0.9	92.81	137.41	118.08
28	0.933	93.23	138.82	118.39
29	0.967	93.26	137.68	118.56
30	1.0	94.0	137.96	118.85
31	1.033	95.17	139.01	119.22
32	1.067	94.96	138.95	120.53
33	1.1	95.29	138.88	120.12
34	1.133	95.63	137.43	120.0
35	1.167	96.67	139.9	120.33
36	1.2	90.07	134.16	118.62
37	1.233	88.77	131.23	118.68
38	1.267	89.3	132.69	119.33
39	1.3	89.57	132.46	117.97
40	1.333	89.2	132.86	116.86
41	1.367	89.65	134.82	116.8
42	1.4	89.35	135.31	115.26
43	1.433	90.32	137.78	116.16
44	1.467	90.67	138.33	116.77
45	1.5	91.68	140.34	118.75
46	1.533	92.02	142.6	119.04
47	1.567	91.84	144.09	117.87
48	1.6	92.55	143.2	118.47
49	1.633	94.32	147.28	120.37
50	1.667	94.67	148.29	120.3
51	1.7	94.3	149.35	121.3
52	1.733	94.71	150.09	121.4
53	1.767	94.7	149.81	120.94
54	1.8	95.2	149.98	120.3
55	1.833	93.67	148.29	119.33
56	1.867	92.49	147.74	117.86
57	1.9	92.6	145.59	117.88
58	1.933	91.91	145.37	118.27
59	1.967	92.05	144.56	119.34
60	2.0	92.28	144.52	120.4
61	2.033	92.04	144.66	120.27
62	2.067	93.05	146.96	120.66
63	2.1	94.78	146.71	121.29
64	2.133	95.31	146.53	120.24
65	2.167	95.4	146.3	120.9
66	2.2	94.7	146.35	119.82
67	2.233	93.53	146.32	118.44
68	2.267	93.01	147.02	118.57
69	2.3	92.64	148.67	118.49
70	2.333	92.45	148.78	118.0
71	2.367	92.6	148.75	117.9
72	2.4	92.74	148.64	117.99
73	2.433	92.93	148.36	118.07
74	2.467	95.43	143.67	113.93
75	2.5	95.47	142.9	113.23
76	2.533	95.73	143.42	113.61
77	2.567	95.15	143.78	113.03
78	2.6	94.92	143.94	112.9
79	2.633	94.71	143.88	112.01
80	2.667	94.52	143.45	111.68
81	2.7	94.15	142.97	111.86
82	2.733	93.87	142.93	111.42
83	2.767	94.1	142.32	111.61
84	2.8	90.45	146.01	116.34
85	2.833	92.78	141.52	110.74
86	2.867	93.02	141.61	110.95
87	2.9	93.46	142.19	111.39
88	2.933	93.83	142.38	112.2
89	2.967	93.75	141.54	111.35
90	3.0	93.77	141.78	111.94
91	3.033	93.13	141.44	111.59
92	3.067	92.56	141.38	111.45
93	3.1	92.3	141.53	111.54
94	3.133	92.33	141.31	111.62
95	3.167	92.26	141.61	112.12
96	3.2	92.75	141.6	112.7
97	3.233	92.64	141.13	112.5
98	3.267	92.37	140.96	114.33
99	3.3	92.48	140.19	114.39
100	3.333	89.68	144.66	118.08
101	3.367	92.11	140.93	113.77
102	3.4	92.58	151.22	116.79
103	3.433	92.92	151.39	117.0
104	3.467	92.74	151.46	116.94
105	3.5	92.53	141.58	113.14
106	3.533	92.77	141.32	115.03
107	3.567	93.06	141.09	114.53
108	3.6	92.82	140.99	115.05
109	3.633	92.51	142.41	116.06
110	3.667	91.76	141.51	115.14
111	3.7	92.85	153.19	119.46
112	3.733	92.38	143.22	115.75
113	3.767	92.4	143.37	115.25
114	3.8	93.56	144.21	115.32
115	3.833	94.49	144.48	115.51
116	3.867	94.32	144.09	114.76
117	3.9	94.06	145.04	115.6
118	3.933	94.37	145.47	115.11
119	3.967	94.73	145.29	115.13
120	4.0	94.77	144.92	115.79
121	4.033	93.98	142.64	114.77
122	4.067	92.53	141.82	115.41
123	4.1	92.3	140.45	116.68
124	4.133	92.3	137.92	117.8
125	4.167	92.55	137.01	118.84
126	4.2	93.47	136.54	120.17
127	4.233	94.25	136.39	120.49
128	4.267	95.45	136.57	121.57
129	4.3	95.22	134.55	122.99
130	4.333	96.2	134.0	124.6
131	4.367	94.74	132.74	125.04
132	4.4	93.34	131.67	125.76
133	4.433	94.27	133.36	130.82
134	4.467	92.19	131.82	129.84
135	4.5	89.94	129.17	125.02
136	4.533	89.34	128.48	124.3
137	4.567	88.52	128.63	124.46
138	4.6	87.37	129.15	124.68
139	4.633	85.69	129.61	126.5
140	4.667	83.27	127.96	125.02
141	4.7	82.29	127.8	123.07
142	4.733	81.18	127.96	122.8
143	4.767	82.03	127.96	126.34
144	4.8	82.14	128.56	127.53
145	4.833	82.61	128.2	125.61
146	4.867	82.64	130.22	124.95
147	4.9	83.81	130.49	126.4
148	4.933	86.17	132.57	126.16
149	4.967	87.96	133.13	126.54
150	5.0	88.82	132.63	126.14
151	5.033	91.22	132.72	127.14
152	5.067	91.67	133.0	126.49
153	5.1	92.45	133.29	126.5
154	5.133	92.79	132.66	127.24
155	5.167	93.12	133.15	128.61
156	5.2	93.29	133.36	128.25
157	5.233	92.6	132.88	127.58
158	5.267	92.78	132.76	127.39
159	5.3	92.29	132.47	127.3
160	5.333	92.53	133.57	127.39
161	5.367	93.03	133.55	126.09
162	5.4	92.41	134.02	125.68
163	5.433	94.15	135.49	126.15
164	5.467	94.28	135.42	125.67
165	5.5	96.27	134.65	121.03
166	5.533	96.48	134.33	121.68
167	5.567	96.63	135.74	121.91
168	5.6	97.31	135.68	121.62
169	5.633	95.69	135.57	120.5
170	5.667	95.43	135.69	120.11
171	5.7	93.04	135.77	120.25
172	5.733	92.29	135.31	119.67
173	5.767	92.52	136.16	120.15
174	5.8	92.54	136.23	121.09
175	5.833	95.18	136.66	120.52
176	5.867	96.91	136.46	120.27
177	5.9	98.43	136.71	119.96
178	5.933	97.83	137.38	119.61
179	5.967	97.38	136.93	119.36
180	6.0	98.47	137.25	118.92
181	6.033	97.6	136.33	118.02
182	6.067	99.42	137.16	119.9
183	6.1	98.33	137.24	119.17
184	6.133	96.99	137.24	119.73
185	6.167	97.81	138.43	120.04
186	6.2	98.33	139.31	119.8
187	6.233	98.24	141.66	119.07
188	6.267	96.78	143.08	118.44
189	6.3	97.05	143.98	117.8
190	6.333	97.15	144.13	117.45
191	6.367	96.94	144.04	117.43
192	6.4	96.83	144.01	117.73
193	6.433	96.98	144.27	117.23
194	6.467	97.73	144.36	117.22
195	6.5	97.62	144.21	117.21
196	6.533	97.62	144.5	116.65
197	6.567	97.37	144.72	116.82
