Frame	Time	Nose_X	Nose_Y	L_Eye_X	L_Eye_Y	R_Eye_X	R_Eye_Y	L_Ear_X	L_Ear_Y	R_Ear_X	R_Ear_Y	L_Shoulder_X	L_Shoulder_Y	R_Shoulder_X	R_Shoulder_Y	L_Elbow_X	L_Elbow_Y	R_Elbow_X	R_Elbow_Y	L_Wrist_X	L_Wrist_Y	R_Wrist_X	R_Wrist_Y	L_Hip_X	L_Hip_Y	R_Hip_X	R_Hip_Y	L_Knee_X	L_Knee_Y	R_Knee_X	R_Knee_Y	L_Ankle_X	L_Ankle_Y	R_Ankle_X	R_Ankle_Y
1	0.034	34.76	67.48	32.42	65.41	31.76	71.73	34.19	66.72	33.42	83.67	42.66	67.87	41.33	84.98	48.77	60.09	49.86	93.54	48.46	55.24	54.25	97.01	65.28	67.76	66.79	82.33	73.61	60.1	77.45	76.89	84.87	68.34	87.59	79.6
2	0.069	34.82	67.45	32.53	65.42	31.85	71.68	34.3	66.85	33.52	83.61	42.72	68.01	41.32	84.98	48.8	60.18	49.97	93.52	48.39	55.25	54.28	96.97	65.18	67.88	66.64	82.33	73.39	59.98	77.22	76.6	84.77	68.39	87.48	79.49
3	0.103	34.73	67.39	32.4	65.34	31.74	71.67	34.19	66.67	33.38	83.6	42.63	67.89	41.21	84.89	48.71	60.22	49.84	93.47	48.28	55.48	54.33	96.82	65.1	67.72	66.51	82.2	73.49	60.29	77.27	76.85	84.76	68.6	87.49	79.6
4	0.138	34.7	67.42	32.38	65.38	31.73	71.68	34.14	66.73	33.38	83.59	42.56	67.94	41.17	84.86	48.68	60.31	49.76	93.39	48.3	55.6	54.15	96.78	64.97	67.69	66.41	82.13	73.4	60.17	77.17	76.73	84.68	68.44	87.39	79.47
5	0.172	34.59	67.57	32.27	65.52	31.63	71.84	34.04	66.8	33.31	83.71	42.53	67.94	41.12	84.88	48.62	60.12	49.78	93.28	48.28	55.53	54.21	96.68	65.1	67.75	66.5	82.22	73.47	60.34	77.2	76.87	84.8	68.92	87.5	79.76
6	0.207	34.32	67.7	32.04	65.68	31.41	71.96	33.84	67.05	33.18	83.83	42.3	68.13	41.0	84.97	48.39	60.28	49.57	93.28	48.17	55.69	53.83	96.72	64.67	67.9	66.16	82.29	72.9	60.06	76.69	76.57	84.43	68.86	87.11	79.72
7	0.241	34.0	67.58	31.81	65.61	31.13	71.81	33.79	67.11	33.03	83.69	42.25	68.09	40.88	84.9	48.18	60.25	49.48	93.43	48.18	55.77	53.57	96.91	64.74	68.01	66.16	82.38	73.08	60.25	76.77	76.69	84.52	69.18	87.14	79.89
8	0.276	33.56	67.75	31.32	65.72	30.69	72.0	33.41	67.0	32.62	83.77	41.99	68.03	40.48	84.84	48.22	60.22	49.15	93.32	48.2	55.41	53.4	96.81	64.72	67.82	66.04	82.37	73.45	60.95	77.17	77.76	84.79	68.85	87.59	79.86
9	0.31	33.71	67.81	31.45	65.82	30.87	72.02	33.39	67.24	32.74	83.83	41.94	68.34	40.53	84.92	48.17	60.55	49.18	93.27	48.38	55.69	53.38	96.75	64.54	68.05	65.92	82.4	73.19	61.19	76.84	77.55	84.33	69.41	87.13	80.12
10	0.345	33.71	67.85	31.47	65.87	30.89	72.06	33.43	67.27	32.78	83.82	41.95	68.31	40.55	84.91	48.17	60.54	49.19	93.27	48.44	55.74	53.38	96.75	64.59	68.01	65.98	82.4	73.41	61.25	77.03	77.73	84.59	69.35	87.35	80.13
11	0.379	33.52	67.93	31.28	65.96	30.74	72.12	33.29	67.32	32.68	83.81	41.89	68.4	40.43	84.89	48.33	60.61	49.08	93.27	48.66	55.87	53.37	96.9	64.49	67.94	65.83	82.29	73.72	61.52	77.25	77.8	84.8	69.21	87.55	79.76
12	0.414	33.71	67.84	31.47	65.82	30.84	72.09	33.52	67.18	32.77	83.94	42.18	68.17	40.8	85.04	48.84	59.86	49.26	93.22	50.2	53.94	53.33	96.91	64.51	67.68	66.01	82.08	73.38	61.07	77.01	77.5	84.53	68.91	87.18	79.54
13	0.448	33.93	67.93	31.61	65.92	31.06	72.22	33.61	67.31	33.02	84.2	42.32	68.24	41.15	85.24	49.08	59.67	49.61	93.46	50.78	53.25	53.39	96.99	65.39	67.4	67.06	82.04	75.03	61.3	78.64	77.96	86.1	68.6	88.72	79.37
14	0.483	34.66	68.02	32.31	65.76	31.6	72.22	34.23	66.95	33.63	84.26	42.25	67.42	42.25	85.58	49.53	58.49	49.7	94.63	52.53	49.83	50.06	96.16	65.79	67.54	68.38	82.66	74.62	60.84	79.06	77.58	86.23	68.05	88.07	79.3
15	0.517	34.23	68.24	32.11	65.94	31.28	72.31	34.16	66.96	33.34	83.86	41.88	67.49	41.6	85.22	48.82	59.43	48.95	94.31	51.14	52.1	49.74	95.77	64.42	68.05	66.72	82.8	72.59	60.95	77.02	77.35	85.02	69.27	86.73	79.96
16	0.552	34.23	68.23	32.11	65.92	31.26	72.31	34.17	66.94	33.31	83.88	41.9	67.47	41.58	85.25	48.87	59.32	48.92	94.35	51.26	51.81	49.7	95.76	64.41	68.04	66.68	82.8	72.5	60.95	76.94	77.37	84.92	69.31	86.66	80.01
17	0.586	34.48	68.25	32.4	66.0	31.52	72.3	34.41	67.14	33.51	83.86	42.01	67.72	41.59	85.26	48.73	59.43	48.84	94.37	51.26	50.92	49.54	95.89	64.37	68.3	66.57	82.88	72.49	61.43	76.91	77.51	84.62	69.76	86.51	80.19
18	0.621	34.42	68.54	32.3	66.25	31.5	72.55	34.21	67.35	33.48	84.01	41.8	67.93	41.54	85.3	48.16	60.57	48.79	94.52	49.92	53.91	49.68	95.84	64.21	68.36	66.44	82.88	72.34	61.55	76.7	77.53	84.33	69.99	86.26	80.41
19	0.655	34.03	68.56	31.78	66.55	31.23	72.72	33.53	67.9	33.06	84.37	42.01	68.9	40.87	85.44	48.39	60.66	49.2	93.4	49.62	54.78	52.93	96.84	64.33	68.1	65.98	82.28	73.31	61.38	76.84	77.32	84.53	69.82	87.09	79.9
20	0.69	33.62	68.57	31.42	66.54	30.87	72.63	33.15	67.75	32.67	84.02	41.5	68.95	40.29	85.09	47.9	61.22	48.81	93.11	49.09	56.1	53.02	96.62	63.84	68.42	65.35	82.44	72.75	61.81	76.3	77.42	84.34	70.51	87.05	80.24
21	0.724	33.09	68.45	30.92	66.38	30.38	72.55	32.76	67.52	32.27	83.89	41.28	68.67	39.95	84.93	47.9	61.06	48.66	93.12	48.96	56.22	53.01	96.82	63.38	68.44	64.78	82.46	71.97	61.22	75.45	76.92	83.69	70.2	86.28	79.89
22	0.759	33.26	68.42	31.1	66.36	30.55	72.49	32.9	67.57	32.39	83.83	41.38	68.72	39.98	84.91	48.02	61.18	48.6	93.1	49.08	56.32	52.79	96.81	63.37	68.42	64.75	82.4	72.06	61.37	75.52	77.02	83.66	70.26	86.27	80.0
23	0.793	33.16	68.5	31.03	66.47	30.48	72.53	32.79	67.69	32.3	83.79	41.17	68.88	39.83	84.87	47.74	61.49	48.5	93.08	48.83	56.69	52.77	96.85	63.15	68.69	64.54	82.55	71.65	61.5	75.13	76.99	83.37	70.44	86.01	80.08
24	0.828	32.97	68.46	30.67	66.35	30.39	72.19	32.24	67.34	31.94	83.18	40.93	69.59	39.75	85.43	47.71	62.0	48.83	93.97	49.36	56.86	55.25	97.99	63.55	68.34	64.99	82.21	72.33	61.34	75.58	77.12	82.47	70.36	84.72	80.13
25	0.862	32.89	68.29	30.56	66.12	30.25	72.08	32.15	67.05	31.74	83.16	40.92	69.32	39.69	85.42	47.73	61.83	48.87	94.06	49.11	57.25	55.33	98.08	63.55	68.14	64.96	82.12	72.09	61.15	75.43	77.06	82.22	70.29	84.54	80.07
26	0.897	32.67	68.6	30.34	66.49	30.13	72.35	31.93	67.44	31.75	83.34	40.72	69.65	39.68	85.47	47.53	62.11	48.8	94.0	49.12	57.33	55.19	97.99	63.59	68.26	65.12	82.16	72.32	61.34	75.6	77.14	82.35	70.37	84.67	80.1
27	0.931	32.99	68.44	30.67	66.36	30.39	72.2	32.18	67.49	31.88	83.33	40.89	69.85	39.75	85.57	47.56	62.28	48.91	94.03	49.01	57.33	55.13	97.95	63.53	68.48	64.96	82.22	72.25	61.61	75.41	76.99	82.14	70.7	84.36	80.25
28	0.966	33.18	68.7	30.84	66.59	30.56	72.47	32.26	67.66	31.97	83.59	40.9	69.95	39.77	85.74	47.51	62.4	48.88	94.12	49.0	57.45	55.16	98.05	63.52	68.49	64.96	82.28	72.3	61.64	75.49	77.13	82.21	70.76	84.45	80.38
29	1.0	33.27	68.62	30.93	66.51	30.62	72.42	32.31	67.59	31.97	83.58	40.91	69.88	39.78	85.74	47.52	62.38	48.92	94.12	48.96	57.55	55.18	98.06	63.45	68.46	64.89	82.26	72.08	61.45	75.33	76.97	82.11	70.71	84.36	80.38
30	1.034	33.48	68.46	31.32	66.41	30.71	72.56	33.03	67.65	32.4	83.98	41.32	68.96	39.94	85.0	47.57	61.44	48.63	92.93	48.64	56.66	52.66	96.47	63.37	68.76	64.67	82.65	72.04	61.67	75.45	77.02	83.61	70.86	86.22	80.38
31	1.069	33.07	68.4	30.74	66.25	30.41	72.25	32.31	67.26	31.91	83.44	41.11	69.55	39.86	85.62	47.76	61.94	49.06	94.22	48.95	57.11	55.27	98.0	63.7	68.26	65.08	82.15	72.22	61.09	75.46	76.7	82.34	70.41	84.57	79.89
32	1.103	32.82	68.43	30.45	66.23	30.17	72.3	31.95	67.13	31.62	83.49	40.79	69.31	39.62	85.63	47.66	61.59	48.89	94.16	48.89	57.18	55.25	98.05	63.55	68.0	64.99	82.1	72.16	60.65	75.55	76.62	82.33	70.16	84.62	79.85
33	1.138	32.85	68.43	30.49	66.23	30.23	72.26	31.97	67.1	31.69	83.35	40.71	69.31	39.66	85.56	47.59	61.67	48.98	94.14	48.92	57.21	55.38	98.04	63.41	68.0	64.92	82.05	71.98	60.65	75.41	76.63	82.22	70.08	84.53	79.77
34	1.172	32.88	68.54	30.54	66.39	30.32	72.34	32.05	67.33	31.87	83.39	40.82	69.5	39.77	85.54	47.71	61.87	48.98	94.09	49.11	57.01	55.39	97.97	63.36	68.07	64.89	82.0	72.01	60.97	75.38	76.83	82.05	70.22	84.39	79.94
35	1.207	32.86	68.54	30.51	66.4	30.3	72.35	32.0	67.35	31.85	83.41	40.75	69.51	39.74	85.53	47.66	61.9	48.97	94.07	49.08	57.06	55.39	98.01	63.32	68.05	64.87	81.99	72.02	60.96	75.4	76.83	82.1	70.2	84.46	79.93
36	1.241	33.02	68.81	30.7	66.65	30.47	72.58	32.21	67.48	31.98	83.49	40.86	69.57	39.78	85.63	47.68	61.89	48.88	94.05	49.28	57.04	55.36	98.04	63.43	68.15	64.92	82.13	72.24	61.21	75.56	77.24	82.33	70.48	84.57	80.24
37	1.276	33.27	68.6	31.09	66.53	30.62	72.66	32.83	67.61	32.49	83.89	41.24	68.6	40.08	84.87	47.89	60.61	48.7	92.95	49.58	54.23	52.61	96.66	63.24	68.08	64.79	82.12	72.12	61.23	75.62	77.08	83.48	70.61	86.23	80.27
38	1.31	33.23	68.56	31.05	66.48	30.55	72.64	32.83	67.58	32.42	83.95	41.34	68.6	40.02	84.92	48.08	60.44	48.66	93.06	49.75	53.58	52.51	96.77	63.36	68.22	64.82	82.28	72.26	61.22	75.7	77.03	83.53	70.68	86.26	80.32
39	1.345	33.52	68.51	31.33	66.37	30.79	72.59	33.09	67.34	32.63	83.88	41.62	68.25	40.3	84.98	48.46	59.59	48.69	93.07	50.52	51.63	52.41	96.67	63.46	67.95	65.01	82.16	72.08	60.66	75.58	76.9	83.24	70.26	85.87	80.22
