Frame	Time	R_Eye-Ear-Vertical	R_Wrist-Elbow-Shoulder	R_Hip-Knee-Ankle
1	0.034	169.51	173.69	147.72
2	0.069	169.48	174.38	145.98
3	0.103	169.6	172.54	148.17
4	0.138	169.54	173.44	148.01
5	0.172	169.35	173.92	147.61
6	0.207	168.75	175.14	145.02
7	0.241	167.97	175.84	145.03
8	0.276	167.68	175.32	154.17
9	0.31	168.08	175.97	150.98
10	0.345	167.91	175.87	152.55
11	0.379	167.54	176.47	155.45
12	0.414	167.72	178.31	154.12
13	0.448	167.7	178.97	159.23
14	0.483	167.35	149.79	152.19
15	0.517	166.63	169.02	146.97
16	0.552	166.67	169.25	146.78
17	0.586	167.09	165.03	146.87
18	0.621	167.03	175.72	145.89
19	0.655	168.21	179.07	150.4
20	0.69	168.12	176.8	149.84
21	0.724	167.49	177.41	147.12
22	0.759	167.83	178.08	147.75
23	0.793	167.83	178.19	146.46
24	0.828	169.36	169.93	146.32
25	0.862	169.83	169.83	146.19
26	0.897	168.87	170.05	146.48
27	0.931	169.89	170.59	144.17
28	0.966	170.39	170.55	144.64
29	1.0	170.79	170.79	143.4
30	1.034	168.82	179.04	145.44
31	1.069	169.9	169.51	143.77
32	1.103	170.2	170.07	143.78
33	1.138	170.03	169.9	144.29
34	1.172	169.42	169.59	145.24
35	1.207	169.44	169.93	145.47
36	1.241	169.55	170.04	146.95
37	1.276	167.52	179.73	148.01
38	1.31	167.61	179.35	146.98
39	1.345	167.77	179.93	145.98
40	1.379	167.32	167.23	136.2
41	1.414	167.27	165.48	136.12
42	1.448	168.39	179.27	137.73
43	1.483	167.6	153.38	127.55
44	1.517	168.62	177.47	133.42
45	1.552	168.62	176.53	134.41
46	1.586	168.61	146.8	125.08
47	1.621	168.8	143.27	124.91
48	1.655	168.7	156.89	123.75
49	1.69	168.34	147.24	117.47
50	1.724	168.35	139.98	119.25
51	1.759	168.15	146.2	120.0
52	1.793	168.03	152.51	118.72
53	1.828	168.06	150.56	118.72
54	1.862	168.25	154.59	118.84
55	1.897	168.33	170.21	121.21
56	1.931	168.85	170.36	120.96
57	1.966	168.36	176.16	122.26
58	2.0	167.9	172.36	121.97
59	2.034	167.97	172.47	121.83
60	2.069	167.96	172.58	120.75
61	2.103	169.12	166.09	122.57
62	2.138	169.19	143.89	121.72
63	2.172	168.9	144.44	122.25
64	2.207	168.61	158.04	117.85
65	2.241	168.7	174.55	117.59
66	2.276	168.6	177.37	117.26
67	2.31	168.8	172.96	119.24
68	2.345	168.85	176.09	120.73
69	2.379	168.74	179.19	123.01
70	2.414	168.6	173.64	121.71
71	2.448	168.61	176.78	122.76
72	2.483	166.96	175.11	121.21
73	2.517	167.49	173.03	121.89
74	2.552	167.38	167.42	120.03
75	2.586	168.42	164.44	120.81
76	2.621	169.42	151.44	121.51
77	2.655	169.35	153.42	122.15
78	2.69	169.65	123.05	124.78
79	2.724	169.82	132.89	123.63
80	2.759	170.39	178.41	129.69
81	2.793	170.56	177.74	126.33
82	2.828	170.13	100.55	119.55
83	2.862	169.94	96.03	119.83
84	2.897	168.2	99.49	119.32
85	2.931	168.25	111.43	115.77
86	2.966	168.42	106.02	118.47
87	3.0	168.76	170.11	123.22
88	3.034	168.7	163.54	126.04
89	3.069	168.64	165.89	125.44
90	3.103	168.49	171.92	125.58
91	3.138	168.2	170.93	123.29
92	3.172	169.67	171.6	122.58
93	3.207	169.47	173.36	122.7
94	3.241	169.38	173.97	117.58
95	3.276	169.61	174.01	117.29
96	3.31	169.55	170.12	118.83
97	3.345	171.47	168.07	118.01
98	3.379	171.39	167.61	117.16
99	3.414	170.62	167.58	116.29
100	3.448	170.9	167.76	117.54
101	3.483	170.93	167.66	116.16
102	3.517	169.24	171.01	112.51
103	3.552	168.92	168.31	113.39
104	3.586	169.11	169.48	112.95
105	3.621	169.16	171.52	111.79
106	3.655	169.94	171.04	112.52
107	3.69	169.89	170.65	112.01
108	3.724	170.14	173.28	115.69
109	3.759	170.03	166.29	115.63
110	3.793	169.68	169.64	109.94
111	3.828	169.65	167.19	109.55
112	3.862	170.35	169.02	110.2
113	3.897	170.72	174.0	117.65
114	3.931	170.03	173.12	117.55
115	3.966	172.15	170.37	116.46
116	4.0	172.46	169.76	118.7
117	4.034	171.17	169.84	119.53
118	4.069	172.94	169.85	121.81
119	4.103	173.22	170.47	121.5
120	4.138	171.34	168.38	121.36
121	4.172	171.59	165.64	124.64
122	4.207	170.4	162.48	123.53
123	4.241	168.71	162.81	120.74
124	4.276	169.88	163.34	119.03
125	4.31	169.82	162.39	119.21
126	4.345	170.41	179.13	121.76
127	4.379	169.59	163.85	120.49
128	4.414	169.26	166.78	123.93
129	4.448	169.22	170.56	123.65
130	4.483	169.31	173.38	122.46
131	4.517	169.19	173.18	122.88
132	4.552	169.45	172.1	120.98
133	4.586	169.78	174.95	124.7
134	4.621	170.27	177.54	124.77
135	4.655	170.6	177.9	127.11
136	4.69	169.84	173.88	125.48
137	4.724	170.31	178.91	126.18
138	4.759	170.48	178.09	122.98
139	4.793	169.87	179.3	126.5
140	4.828	169.73	179.72	124.04
141	4.862	170.02	177.85	125.85
142	4.897	168.73	174.82	123.2
143	4.931	168.84	175.29	122.95
144	4.966	171.02	167.83	125.22
145	5.0	170.8	168.27	125.82
146	5.034	171.0	169.1	129.33
147	5.069	170.6	168.84	128.26
148	5.103	170.49	169.06	129.34
149	5.138	170.6	168.94	128.99
150	5.172	170.53	168.32	125.18
151	5.207	170.47	168.02	125.85
152	5.241	170.83	168.92	125.89
153	5.276	170.69	168.54	126.22
154	5.31	170.8	168.31	127.27
155	5.345	170.81	168.3	127.42
156	5.379	169.48	170.08	126.75
157	5.414	171.74	169.03	123.91
158	5.448	171.66	169.25	124.25
159	5.483	171.58	168.29	124.08
160	5.517	171.79	168.1	122.49
